Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0708,
Vertical Scale,0.02,
Vertical Position,-1.02,
,,
,,
,,
Label,,
TIME,CH1,CH3
-3.5630e-08,0.0891281,-0.00078125
-3.5230e-08,0.0890906,-0.00075625
-3.4830e-08,0.0890281,-0.000721875
-3.4430e-08,0.0890281,-0.000665625
-3.4030e-08,0.0890281,-0.0007125
-3.3630e-08,0.08895,-0.0007875
-3.3230e-08,0.0889469,-0.00075
-3.2830e-08,0.0888687,-0.000778125
-3.2430e-08,0.0888781,-0.00080625
-3.2030e-08,0.0889313,-0.000871875
-3.1630e-08,0.0890156,-0.00079375
-3.1230e-08,0.0890406,-0.00074375
-3.0830e-08,0.0890563,-0.00070625
-3.0430e-08,0.0891062,-0.000734375
-3.0030e-08,0.0890438,-0.00071875
-2.9630e-08,0.0889656,-0.000684375
-2.9230e-08,0.0889906,-0.0007
-2.8830e-08,0.0889781,-0.000734375
-2.8430e-08,0.0889656,-0.0008
-2.8030e-08,0.0888656,-0.00084375
-2.7630e-08,0.0889875,-0.000696875
-2.7230e-08,0.0890156,-0.000775
-2.6830e-08,0.0890813,-0.0007125
-2.6430e-08,0.0890844,-0.00075625
-2.6030e-08,0.0890375,-0.0006875
-2.5630e-08,0.0889656,-0.000725
-2.5230e-08,0.0888844,-0.0007375
-2.4830e-08,0.0888594,-0.00074375
-2.4430e-08,0.0889219,-0.000678125
-2.4030e-08,0.0889125,-0.000703125
-2.3630e-08,0.0889281,-0.000921875
-2.3230e-08,0.0889406,-0.0012
-2.2830e-08,0.0889812,-0.00104063
-2.2430e-08,0.0889875,-0.000765625
-2.2030e-08,0.089025,-0.000434375
-2.1630e-08,0.0890719,-0.00040625
-2.1230e-08,0.089025,-0.000546875
-2.0830e-08,0.0890969,-0.00063125
-2.0430e-08,0.08915,-0.000615625
-2.0030e-08,0.0891031,-0.0007125
-1.9630e-08,0.088975,-0.000803125
-1.9230e-08,0.0890156,-0.000775
-1.8830e-08,0.0890031,-0.0007625
-1.8430e-08,0.0889937,-0.000828125
-1.8030e-08,0.0889844,-0.00079375
-1.7630e-08,0.0890688,-0.000746875
-1.7230e-08,0.0890656,-0.00069375
-1.6830e-08,0.0891187,-0.0007125
-1.6430e-08,0.0891219,-0.0007375
-1.6030e-08,0.0890813,-0.000709375
-1.5630e-08,0.0889625,-0.00070625
-1.5230e-08,0.0889281,-0.0007875
-1.4830e-08,0.0890469,-0.000746875
-1.4430e-08,0.0890219,-0.000828125
-1.4030e-08,0.0889937,-0.000740625
-1.3630e-08,0.0890438,-0.000753125
-1.3230e-08,0.0889844,-0.0008375
-1.2830e-08,0.0890813,-0.00073125
-1.2430e-08,0.089075,-0.00058125
-1.2030e-08,0.0890625,-0.00063125
-1.1630e-08,0.0890531,-0.0007875
-1.1230e-08,0.0889406,-0.00085625
-1.0830e-08,0.0889344,-0.000759375
-1.0430e-08,0.0889563,-0.0007
