Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-08,,
Horizontal Delay,1.29557e-06,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,16.7200% to 21.7300%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.01,,
Vertical Position,-0.28,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-3.5630e-08,0.0008,0.0004,-0.0036
-3.5230e-08,0.0008,0.0004,-0.0028
-3.4830e-08,0.0008,0,-0.0024
-3.4430e-08,0.0012,0.0004,-0.0016
-3.4030e-08,0.0016,0.0004,0
-3.3630e-08,0.0012,0,0.0012
-3.3230e-08,0.0016,0,0.002
-3.2830e-08,0.0016,0.0004,0.0024
-3.2430e-08,0.0016,0.0004,0.0036
-3.2030e-08,0.0016,0.0004,0.004
-3.1630e-08,0.0016,0.0004,0.0044
-3.1230e-08,0.002,-0.0004,0.0044
-3.0830e-08,0.002,-0.0012,0.004
-3.0430e-08,0.0016,-0.0004,0.0036
-3.0030e-08,0.0008,0,0.0036
-2.9630e-08,0.0004,0.0004,0.0028
-2.9230e-08,0.0004,0.0004,0.0024
-2.8830e-08,0.0004,0.0004,0.0016
-2.8430e-08,0,0.0004,0.0012
-2.8030e-08,0,0.0004,0
-2.7630e-08,0,-0.0004,-0.0008
-2.7230e-08,0.0008,0,-0.0016
-2.6830e-08,0.0012,-0.0004,-0.002
-2.6430e-08,0.002,0,-0.0028
-2.6030e-08,0.0024,0.0004,-0.0028
-2.5630e-08,0.0024,0,-0.0028
-2.5230e-08,0.002,0.0004,-0.0032
-2.4830e-08,0.0008,0,-0.0028
-2.4430e-08,0.0008,0.0004,-0.0028
-2.4030e-08,-0.0004,0.0004,-0.0024
-2.3630e-08,0,0,-0.002
-2.3230e-08,-0.0004,0.0008,-0.002
-2.2830e-08,0,0,-0.0008
-2.2430e-08,0.0008,-0.0004,0
-2.2030e-08,0.0016,-0.0004,0.0016
-2.1630e-08,0.002,0,0.0024
-2.1230e-08,0.0016,-0.0004,0.0032
-2.0830e-08,0.0016,-0.0004,0.0036
-2.0430e-08,0.0016,0.0004,0.0044
-2.0030e-08,0.0016,0,0.0048
-1.9630e-08,0.0016,0,0.0048
-1.9230e-08,0.0016,0,0.0048
-1.8830e-08,0.0016,0,0.0044
-1.8430e-08,0.0008,-0.0004,0.0044
-1.8030e-08,0.0008,0,0.0036
-1.7630e-08,0,-0.0004,0.0028
-1.7230e-08,0.0004,0,0.0024
-1.6830e-08,0.0004,0,0.002
-1.6430e-08,0.0004,0.0004,0.0016
-1.6030e-08,0.0008,0,0.0004
-1.5630e-08,0.0012,0.0004,-0.0008
-1.5230e-08,0.0012,0.0004,-0.0016
-1.4830e-08,0.0012,0.0004,-0.002
-1.4430e-08,0.0012,0.0004,-0.002
-1.4030e-08,0.0012,0.0008,-0.0028
-1.3630e-08,0.0016,0.0008,-0.0028
-1.3230e-08,0.0016,0.0004,-0.0028
-1.2830e-08,0.0012,0,-0.0028
-1.2430e-08,0.002,0,-0.0028
-1.2030e-08,0.0008,0.0004,-0.0024
