Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,3.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.8600% to 50.8600%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,2.14,
,,
,,
,,
Label,,
TIME,CH1,CH4
3.0600e-08,-0.0580703,-0.017125
3.1000e-08,-0.0580766,-0.0142266
3.1400e-08,-0.05805,-0.0143906
3.1800e-08,-0.0581094,-0.0159766
3.2200e-08,-0.0580594,-0.0170938
3.2600e-08,-0.0580953,-0.018125
3.3000e-08,-0.0581219,-0.0188516
3.3400e-08,-0.0581641,-0.0190625
3.3800e-08,-0.0580859,-0.0191484
3.4200e-08,-0.0581063,-0.0200078
3.4600e-08,-0.0580625,-0.0205234
3.5000e-08,-0.0580922,-0.0208125
3.5400e-08,-0.0580797,-0.0205781
3.5800e-08,-0.0581297,-0.0218516
3.6200e-08,-0.0581484,-0.0228047
3.6600e-08,-0.0581156,-0.0227656
3.7000e-08,-0.0580859,-0.0218672
3.7400e-08,-0.0581125,-0.0218125
3.7800e-08,-0.0581031,-0.0220547
3.8200e-08,-0.0581063,-0.0228828
3.8600e-08,-0.0581094,-0.0234687
3.9000e-08,-0.058125,-0.0238906
3.9400e-08,-0.0580953,-0.0238594
3.9800e-08,-0.0581406,-0.0241484
4.0200e-08,-0.0580891,-0.0243281
4.0600e-08,-0.0580594,-0.0243359
4.1000e-08,-0.0580422,-0.0249375
4.1400e-08,-0.0580563,-0.0258203
4.1800e-08,-0.0580516,-0.0252969
4.2200e-08,-0.0581063,-0.0246953
4.2600e-08,-0.0581016,-0.0246484
4.3000e-08,-0.0581484,-0.0252813
4.3400e-08,-0.0581125,-0.0253672
4.3800e-08,-0.0581297,-0.0251875
4.4200e-08,-0.0580375,-0.0253047
4.4600e-08,-0.0577859,-0.0256094
4.5000e-08,-0.0561609,-0.0253281
4.5400e-08,-0.0514547,-0.0250469
4.5800e-08,-0.0416813,-0.0253437
4.6200e-08,-0.0266922,-0.0253906
4.6600e-08,-0.00906875,-0.0247656
4.7000e-08,0.00685,-0.0247187
4.7400e-08,0.0177656,-0.0249453
4.7800e-08,0.0224328,-0.0249297
4.8200e-08,0.0215797,-0.0242109
4.8600e-08,0.0173281,-0.02425
4.9000e-08,0.0120984,-0.0242187
4.9400e-08,0.00784531,-0.0239687
4.9800e-08,0.00579844,-0.0233672
5.0200e-08,0.00566094,-0.0226797
5.0600e-08,0.00674687,-0.0214922
5.1000e-08,0.00782969,-0.0210937
5.1400e-08,0.00827656,-0.0208047
5.1800e-08,0.00794219,-0.0206953
5.2200e-08,0.00722969,-0.02025
5.2600e-08,0.0066125,-0.0197813
5.3000e-08,0.0066125,-0.0193672
5.3400e-08,0.00723125,-0.0184219
5.3800e-08,0.00813281,-0.0180156
5.4200e-08,0.00895937,-0.0176172
5.4600e-08,0.00949375,-0.0163906
5.5000e-08,0.00929219,-0.0157969
5.5400e-08,0.00862813,-0.015125
5.5800e-08,0.00800156,-0.0144531
5.6200e-08,0.00755938,-0.0137422
5.6600e-08,0.00744687,-0.0128594
5.7000e-08,0.00760625,-0.0121484
5.7400e-08,0.00786094,-0.0118125
5.7800e-08,0.00814531,-0.0110937
5.8200e-08,0.00828125,-0.0102969
5.8600e-08,0.00817812,-0.00994531
5.9000e-08,0.00797031,-0.00974219
5.9400e-08,0.00775625,-0.00921094
5.9800e-08,0.00761094,-0.00864844
6.0200e-08,0.00759375,-0.00804687
6.0600e-08,0.00766406,-0.00773438
6.1000e-08,0.00780156,-0.00703906
6.1400e-08,0.00786562,-0.00653125
6.1800e-08,0.00784531,-0.006375
6.2200e-08,0.00769531,-0.00607031
6.2600e-08,0.00750781,-0.00589844
6.3000e-08,0.00728281,-0.00571094
6.3400e-08,0.00714375,-0.00515625
6.3800e-08,0.00708281,-0.00502344
6.4200e-08,0.00709062,-0.00474219
6.4600e-08,0.007,-0.0048125
6.5000e-08,0.00612031,-0.00444531
6.5400e-08,0.00280156,-0.00438281
6.5800e-08,-0.00491719,-0.00442188
6.6200e-08,-0.0177078,-0.00411719
6.6600e-08,-0.0340578,-0.00419531
6.7000e-08,-0.0505672,-0.00425
6.7400e-08,-0.0637766,-0.00421094
6.7800e-08,-0.0714344,-0.00428125
6.8200e-08,-0.0723906,-0.00433594
6.8600e-08,-0.0714687,-0.00419531
6.9000e-08,-0.0669391,-0.00422656
6.9400e-08,-0.0617891,-0.00449219
6.9800e-08,-0.0577625,-0.00459375
7.0200e-08,-0.0555891,-0.005

