Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,-0.08,
,,
,,
,,
Label,,
TIME,CH3,CH4
2.8370e-08,0.0324,0.0008
2.8770e-08,0.0308,0.0004
2.9170e-08,0.0288,-0.0008
2.9570e-08,0.0288,-0.0016
2.9970e-08,0.0284,-0.002
3.0370e-08,0.0296,-0.0028
3.0770e-08,0.0304,-0.0036
3.1170e-08,0.032,-0.0048
3.1570e-08,0.0336,-0.0056
3.1970e-08,0.0352,-0.006
3.2370e-08,0.0364,-0.0068
3.2770e-08,0.0372,-0.0072
3.3170e-08,0.0372,-0.0064
3.3570e-08,0.036,-0.0068
3.3970e-08,0.0356,-0.0068
3.4370e-08,0.0344,-0.0068
3.4770e-08,0.0328,-0.0064
3.5170e-08,0.0312,-0.006
3.5570e-08,0.0308,-0.0048
3.5970e-08,0.0316,-0.004
3.6370e-08,0.032,-0.0028
3.6770e-08,0.0328,-0.0008
3.7170e-08,0.0328,0
3.7570e-08,0.0332,0.0008
3.7970e-08,0.0328,0.0012
3.8370e-08,0.0328,0.0016
3.8770e-08,0.0332,0.002
3.9170e-08,0.0328,0.0028
3.9570e-08,0.0332,0.0016
3.9970e-08,0.0328,0.0008
4.0370e-08,0.0328,0.0012
4.0770e-08,0.0328,0.0004
4.1170e-08,0.032,0
4.1570e-08,0.0324,-0.0008
4.1970e-08,0.0332,-0.0008
4.2370e-08,0.0332,-0.0016
4.2770e-08,0.0328,-0.0024
4.3170e-08,0.0324,-0.002
4.3570e-08,0.0328,-0.0028
4.3970e-08,0.0328,-0.0028
4.4370e-08,0.0328,-0.0036
4.4770e-08,0.0328,-0.0028
4.5170e-08,0.0328,-0.0024
4.5570e-08,0.0328,-0.0024
4.5970e-08,0.0328,-0.002
4.6370e-08,0.0328,-0.002
4.6770e-08,0.0324,-0.0012
4.7170e-08,0.0324,0
4.7570e-08,0.0332,0.0012
4.7970e-08,0.0328,0.0016
4.8370e-08,0.0332,0.0024
4.8770e-08,0.0336,0.0028
4.9170e-08,0.034,0.0032
4.9570e-08,0.034,0.0028
4.9970e-08,0.0336,0.0024
5.0370e-08,0.0336,0.0024
5.0770e-08,0.0344,0.002
5.1170e-08,0.034,0.0012
5.1570e-08,0.0328,0.0004
5.1970e-08,0.0312,-0.0004
5.2370e-08,0.0288,-0.0008
5.2770e-08,0.0248,-0.0016
5.3170e-08,0.0208,-0.0024
5.3570e-08,0.0168,-0.0032
5.3970e-08,0.0124,-0.0032
5.4370e-08,0.01,-0.0036
5.4770e-08,0.0084,-0.0036
5.5170e-08,0.0076,-0.004
5.5570e-08,0.008,-0.0036
5.5970e-08,0.0092,-0.002
5.6370e-08,0.0104,-0.0012
5.6770e-08,0.0112,0.0004
5.7170e-08,0.0112,0.0012
5.7570e-08,0.0116,0.0028
5.7970e-08,0.0112,0.0052
5.8370e-08,0.0108,0.0076
5.8770e-08,0.0084,0.0096
5.9170e-08,0.0064,0.012
5.9570e-08,0.0036,0.0136
5.9970e-08,0.0016,0.0148
6.0370e-08,0.0004,0.0168
6.0770e-08,0,0.0188
6.1170e-08,0.0004,0.0192
6.1570e-08,0.0004,0.02
6.1970e-08,0.0012,0.0208
6.2370e-08,0.002,0.0216
6.2770e-08,0.0028,0.0216
6.3170e-08,0.0032,0.0216
6.3570e-08,0.0028,0.0216
6.3970e-08,0.0028,0.022
6.4370e-08,0.0032,0.0216
6.4770e-08,0.0028,0.0216
6.5170e-08,0.002,0.0212
6.5570e-08,0.0016,0.0208
6.5970e-08,0.0008,0.0212
6.6370e-08,0.0004,0.0208
6.6770e-08,0.0008,0.0208
6.7170e-08,0.0008,0.0216
6.7570e-08,0.0008,0.022
6.7970e-08,0.0012,0.022
6.8370e-08,0.0012,0.022
6.8770e-08,0.0012,0.0232
6.9170e-08,0.0012,0.024
6.9570e-08,0.0012,0.0248
6.9970e-08,0.0012,0.026
7.0370e-08,0.0016,0.0268
7.0770e-08,0.0016,0.0284
7.1170e-08,0.0016,0.0288
7.1570e-08,0.0016,0.0296
7.1970e-08,0.0016,0.0304
7.2370e-08,0.0008,0.0308
7.2770e-08,0.0004,0.0308
7.3170e-08,0.0004,0.03
7.3570e-08,0.0004,0.0304
7.3970e-08,0,0.0304
7.4370e-08,0.0004,0.03
7.4770e-08,0.0004,0.0292
7.5170e-08,0.0008,0.0288
7.5570e-08,0.0008,0.0276
7.5970e-08,0.0008,0.0268
7.6370e-08,0.0008,0.026
7.6770e-08,0.0008,0.0248
7.7170e-08,0.0008,0.024
7.7570e-08,0.0012,0.0232
7.7970e-08,0.0016,0.0228
7.8370e-08,0.0012,0.022
7.8770e-08,0.0012,0.022
7.9170e-08,0.0012,0.0224
7.9570e-08,0.0008,0.0224
7.9970e-08,0.0008,0.0228
8.0370e-08,0.0012,0.0224
8.0770e-08,0.0008,0.0236
8.1170e-08,0.0008,0.024
8.1570e-08,0.0004,0.0264
8.1970e-08,0.0004,0.0268
8.2370e-08,0.0008,0.028
8.2770e-08,0.0004,0.0284
8.3170e-08,-0.0008,0.028
8.3570e-08,-0.0012,0.028
8.3970e-08,-0.002,0.0272
8.4370e-08,-0.0028,0.0268
8.4770e-08,-0.0036,0.026
8.5170e-08,-0.0044,0.0248
8.5570e-08,-0.004,0.0236
8.5970e-08,-0.0036,0.0224
8.6370e-08,-0.0028,0.0204
8.6770e-08,-0.0008,0.0188
8.7170e-08,-0.0008,0.0176
8.7570e-08,0.0004,0.016
8.7970e-08,0.0008,0.0144
8.8370e-08,0.0012,0.0132
8.8770e-08,0.0012,0.0124
8.9170e-08,0.0008,0.012
8.9570e-08,0.0012,0.0116
8.9970e-08,0.0012,0.0112
9.0370e-08,0,0.0108
9.0770e-08,0,0.01
9.1170e-08,-0.0012,0.0088
9.1570e-08,-0.0016,0.0092
9.1970e-08,-0.0012,0.0088
9.2370e-08,-0.0008,0.01
9.2770e-08,-0.0004,0.0108
9.3170e-08,0,0.0116
9.3570e-08,0.0004,0.0124
9.3970e-08,0.0004,0.0132
9.4370e-08,0.0004,0.0136
9.4770e-08,-0.0008,0.0136
9.5170e-08,-0.0008,0.0136
9.5570e-08,-0.0016,0.0128
9.5970e-08,-0.0016,0.0128
9.6370e-08,-0.0012,0.012
9.6770e-08,-0.002,0.0112
9.7170e-08,-0.002,0.0112
9.7570e-08,-0.002,0.01
9.7970e-08,-0.0016,0.008
9.8370e-08,-0.002,0.0064
9.8770e-08,-0.0016,0.006
9.9170e-08,0,0.0048
9.9570e-08,0.0004,0.0044
9.9970e-08,0.0008,0.0032
1.0037e-07,0.0008,0.002
1.0077e-07,0,0.0016
1.0117e-07,0,0.0016
1.0157e-07,0.0008,0.002
1.0197e-07,0.0008,0.002
1.0237e-07,0.0012,0.0024
1.0277e-07,0.0008,0.0024
1.0317e-07,0.0008,0.0024
1.0357e-07,-0.0004,0.0036
1.0397e-07,-0.0008,0.0048
1.0437e-07,-0.0012,0.006
1.0477e-07,-0.0008,0.0068
1.0517e-07,0,0.0076
1.0557e-07,0.0008,0.0084
1.0597e-07,0.0016,0.0084
1.0637e-07,0.0016,0.0088
1.0677e-07,0.0004,0.0088
1.0717e-07,0,0.0088
1.0757e-07,-0.0008,0.0084
1.0797e-07,-0.0004,0.0076
1.0837e-07,0,0.0076
1.0877e-07,0.0004,0.0064
1.0917e-07,0.0004,0.0056
1.0957e-07,0.0008,0.0048
1.0997e-07,0.0004,0.0036
1.1037e-07,0.0008,0.0028
1.1077e-07,0.0004,0.002
1.1117e-07,0.0004,0.0016
1.1157e-07,0.0004,0.0008
1.1197e-07,0.0012,0.0008
1.1237e-07,0.0008,0.0008
1.1277e-07,0.0004,0.0008
1.1317e-07,0,0.0008
1.1357e-07,0,0.0012
1.1397e-07,-0.0008,0.0012
1.1437e-07,-0.0008,0.0016
1.1477e-07,-0.0004,0.0028
1.1517e-07,0.0004,0.0032
1.1557e-07,0.0008,0.004
1.1597e-07,0.0004,0.0064
1.1637e-07,0.0004,0.0072
1.1677e-07,0.0004,0.0076
1.1717e-07,0.0004,0.008
1.1757e-07,0.0004,0.0084
1.1797e-07,-0.0004,0.0088
1.1837e-07,-0.0004,0.0088
1.1877e-07,-0.0008,0.0088
1.1917e-07,-0.0004,0.008
1.1957e-07,-0.0012,0.0072
1.1997e-07,-0.0004,0.0072
1.2037e-07,-0.0004,0.0064
1.2077e-07,0.0012,0.0056
1.2117e-07,0.0012,0.0048
1.2157e-07,0.0008,0.0036
1.2197e-07,0.0004,0.0024
1.2237e-07,0,0.0016
1.2277e-07,0,0.0012
1.2317e-07,0.0008,0
1.2357e-07,0.0008,-0.0008
1.2397e-07,0.0012,-0.0012
1.2437e-07,0.0016,-0.0012
1.2477e-07,0.0028,-0.0012
1.2517e-07,0.0028,-0.0016
1.2557e-07,0.0024,-0.0016
1.2597e-07,0.0024,-0.0012
1.2637e-07,0.0028,-0.0008
1.2677e-07,0.0028,0.0004
1.2717e-07,0.0036,0.0012
1.2757e-07,0.0036,0.0016
1.2797e-07,0.0032,0.0024
1.2837e-07,0.0032,0.0028
1.2877e-07,0.0024,0.0036
1.2917e-07,0.002,0.0032
1.2957e-07,0.002,0.0028
1.2997e-07,0.002,0.0024
1.3037e-07,0.0024,0.002
1.3077e-07,0.0016,0.0008
1.3117e-07,0.0012,0.0004
1.3157e-07,0.0008,-0.0004
1.3197e-07,0.0008,-0.0012
1.3237e-07,0.0004,-0.002
1.3277e-07,0.0004,-0.0032
1.3317e-07,-0.0004,-0.0036
1.3357e-07,-0.0004,-0.0044
1.3397e-07,0,-0.0056
1.3437e-07,0.0008,-0.0068
1.3477e-07,0.0012,-0.0068
1.3517e-07,0.0016,-0.0068
1.3557e-07,0.0008,-0.0064
1.3597e-07,0.0008,-0.0064
1.3637e-07,0.0008,-0.0064
1.3677e-07,0.0008,-0.0064
1.3717e-07,0.0012,-0.0052
1.3757e-07,0.0004,-0.0044
1.3797e-07,0.0004,-0.0028
1.3837e-07,0,-0.002
1.3877e-07,0,-0.0004
1.3917e-07,-0.0004,0.0008
1.3957e-07,-0.0004,0.0008
1.3997e-07,0.0004,0.002
1.4037e-07,0.0004,0.0028
1.4077e-07,0.0004,0.0028
1.4117e-07,-0.0004,0.0028
1.4157e-07,-0.0012,0.002
1.4197e-07,-0.0004,0.002
1.4237e-07,-0.0008,0.0016
1.4277e-07,-0.0004,0.0012
1.4317e-07,-0.0004,0.0008
1.4357e-07,-0.0008,-0.0004
1.4397e-07,-0.0004,-0.0016
1.4437e-07,-0.0004,-0.0016
1.4477e-07,-0.0012,-0.0024
1.4517e-07,-0.0012,-0.0028
1.4557e-07,-0.0008,-0.0032
1.4597e-07,0,-0.0036
1.4637e-07,0.0008,-0.004
1.4677e-07,0.0008,-0.0036
1.4717e-07,0.0004,-0.0036
1.4757e-07,0.0004,-0.0036
1.4797e-07,0,-0.0032
1.4837e-07,-0.0004,-0.0028
1.4877e-07,0,-0.0016
1.4917e-07,0,-0.0004
1.4957e-07,0,-0.0008
1.4997e-07,0.0008,0.0016
1.5037e-07,0.0004,0.0032
1.5077e-07,0.0008,0.004
1.5117e-07,0.0004,0.0048
1.5157e-07,0,0.0056
1.5197e-07,0.0004,0.0064
1.5237e-07,-0.0004,0.0064
1.5277e-07,-0.0008,0.0056
1.5317e-07,-0.0012,0.0052
1.5357e-07,-0.0008,0.0044
1.5397e-07,-0.0004,0.004
1.5437e-07,0,0.0032
1.5477e-07,0,0.0024
1.5517e-07,-0.0004,0.0012
1.5557e-07,-0.0008,0
1.5597e-07,-0.0008,-0.0016
1.5637e-07,-0.0008,-0.002
1.5677e-07,-0.0008,-0.0028
1.5717e-07,-0.0012,-0.0032
1.5757e-07,-0.0012,-0.0044
1.5797e-07,-0.0008,-0.0048
1.5837e-07,-0.0004,-0.0044
1.5877e-07,0.0008,-0.0044
1.5917e-07,0.0016,-0.0044
1.5957e-07,0.0016,-0.004
1.5997e-07,0.002,-0.0036
1.6037e-07,0.002,-0.0028
1.6077e-07,0.002,-0.002
1.6117e-07,0.0012,-0.0008
1.6157e-07,0.0004,0.0008
1.6197e-07,-0.0004,0.0012
1.6237e-07,-0.0004,0.0016
1.6277e-07,-0.0012,0.0024
1.6317e-07,-0.0016,0.0028
1.6357e-07,-0.002,0.0028
1.6397e-07,-0.002,0.0036
1.6437e-07,-0.0028,0.0028

