Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,2.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.1100% to 51.6100%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.02,
Vertical Position,-4.98,
,,
,,
,,
Label,,
TIME,CH1,CH4
-9.4000e-09,0.0537125,-0.00759375
-9.0000e-09,0.05365,-0.00759375
-8.6000e-09,0.0536438,-0.00732813
-8.2000e-09,0.0536438,-0.00734375
-7.8000e-09,0.053625,-0.00739063
-7.4000e-09,0.0536719,-0.00740625
-7.0000e-09,0.0536438,-0.00775
-6.6000e-09,0.0537625,-0.00710938
-6.2000e-09,0.0537219,-0.00739063
-5.8000e-09,0.0536531,-0.00757813
-5.4000e-09,0.0536375,-0.00760938
-5.0000e-09,0.0536531,-0.00764063
-4.6000e-09,0.0536875,-0.00735938
-4.2000e-09,0.0536406,-0.00748438
-3.8000e-09,0.05365,-0.00742188
-3.4000e-09,0.0536719,-0.00751562
-3.0000e-09,0.0537219,-0.00723438
-2.6000e-09,0.053675,-0.00746875
-2.2000e-09,0.0536688,-0.00767188
-1.8000e-09,0.0536844,-0.00725
-1.4000e-09,0.0537125,-0.0074375
-1.0000e-09,0.0536625,-0.00770313
-6.0000e-10,0.0536594,-0.00335937
-2.0000e-10,0.0536875,0.056125
2.0000e-10,0.053675,0.208266
6.0000e-10,0.0536719,0.362359
1.0000e-09,0.0536813,0.441094
1.4000e-09,0.0537281,0.465187
1.8000e-09,0.0536938,0.474891
2.2000e-09,0.0537406,0.481812
2.6000e-09,0.0536406,0.483688
3.0000e-09,0.0537031,0.482313
3.4000e-09,0.0536594,0.480328
3.8000e-09,0.0536281,0.479609
4.2000e-09,0.0536625,0.479359
4.6000e-09,0.0537531,0.480641
5.0000e-09,0.0536844,0.481688
5.4000e-09,0.0536875,0.481531
5.8000e-09,0.0536406,0.481547
6.2000e-09,0.0536875,0.482891
6.6000e-09,0.0536281,0.482969
7.0000e-09,0.0536469,0.483219
7.4000e-09,0.053675,0.483234
7.8000e-09,0.0536219,0.483375
8.2000e-09,0.0536531,0.483062
8.6000e-09,0.0536625,0.4835
9.0000e-09,0.0536438,0.483109
9.4000e-09,0.0536438,0.485375
9.8000e-09,0.0536969,0.488547
1.0200e-08,0.0536688,0.486031
1.0600e-08,0.0536563,0.478594
1.1000e-08,0.05365,0.475922
1.1400e-08,0.053675,0.477156
1.1800e-08,0.0536188,0.479203
1.2200e-08,0.0536406,0.479984
1.2600e-08,0.0536594,0.480437
1.3000e-08,0.0536688,0.480313
1.3400e-08,0.0536781,0.479953
1.3800e-08,0.0536906,0.479547
1.4200e-08,0.05375,0.479828
1.4600e-08,0.0536688,0.479672
1.5000e-08,0.053725,0.478812
1.5400e-08,0.0536531,0.477984
1.5800e-08,0.0535875,0.479187
1.6200e-08,0.0536125,0.479875
1.6600e-08,0.0536406,0.478641
1.7000e-08,0.0536219,0.475922
1.7400e-08,0.0536688,0.474906
1.7800e-08,0.053675,0.475469
1.8200e-08,0.0537094,0.475625
1.8600e-08,0.05365,0.475656
