Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,2.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.1100% to 51.6100%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.02,
Vertical Position,-4.98,
,,
,,
,,
Label,,
TIME,CH1,CH4
-9.4000e-09,0.0536563,-0.00764063
-9.0000e-09,0.053625,-0.00753125
-8.6000e-09,0.0536344,-0.0075
-8.2000e-09,0.0536531,-0.00742188
-7.8000e-09,0.053675,-0.00734375
-7.4000e-09,0.0536906,-0.0074375
-7.0000e-09,0.0536281,-0.0078125
-6.6000e-09,0.0536625,-0.00701562
-6.2000e-09,0.05365,-0.00728125
-5.8000e-09,0.0536219,-0.00760938
-5.4000e-09,0.053675,-0.0076875
-5.0000e-09,0.053625,-0.00753125
-4.6000e-09,0.0537188,-0.00714063
-4.2000e-09,0.0537313,-0.007375
-3.8000e-09,0.0536469,-0.00784375
-3.4000e-09,0.0536813,-0.00734375
-3.0000e-09,0.0537469,-0.00734375
-2.6000e-09,0.0536438,-0.0075
-2.2000e-09,0.0536719,-0.00757813
-1.8000e-09,0.0537125,-0.00739063
-1.4000e-09,0.0536125,-0.0075625
-1.0000e-09,0.0536281,-0.00776562
-6.0000e-10,0.0536781,-0.00353125
-2.0000e-10,0.05365,0.0560469
2.0000e-10,0.0536469,0.207344
6.0000e-10,0.053675,0.361891
1.0000e-09,0.0536563,0.440828
1.4000e-09,0.0536719,0.465219
1.8000e-09,0.0536406,0.474609
2.2000e-09,0.053725,0.481656
2.6000e-09,0.053675,0.483656
3.0000e-09,0.0536844,0.482437
3.4000e-09,0.0536531,0.480422
3.8000e-09,0.0536094,0.479688
4.2000e-09,0.0536781,0.479484
4.6000e-09,0.0537281,0.480234
5.0000e-09,0.0536594,0.481672
5.4000e-09,0.0536844,0.481406
5.8000e-09,0.0536313,0.481547
6.2000e-09,0.0536625,0.483281
6.6000e-09,0.0536781,0.482656
7.0000e-09,0.0536656,0.483203
7.4000e-09,0.0536844,0.483281
7.8000e-09,0.0536594,0.483187
8.2000e-09,0.0536563,0.482891
8.6000e-09,0.0536594,0.483375
9.0000e-09,0.0536219,0.483078
9.4000e-09,0.0536063,0.48525
9.8000e-09,0.0536781,0.487875
1.0200e-08,0.0536594,0.484656
1.0600e-08,0.0536344,0.476984
1.1000e-08,0.0536531,0.475094
1.1400e-08,0.0536688,0.476141
1.1800e-08,0.0536531,0.478125
1.2200e-08,0.0535844,0.479094
1.2600e-08,0.0536844,0.479922
1.3000e-08,0.0536438,0.479875
1.3400e-08,0.0536719,0.479094
1.3800e-08,0.0536531,0.479031
1.4200e-08,0.053725,0.479516
1.4600e-08,0.0536719,0.479
1.5000e-08,0.0537875,0.478391
1.5400e-08,0.0536406,0.477766
1.5800e-08,0.0536,0.478391
1.6200e-08,0.0536406,0.478859
1.6600e-08,0.0536313,0.477812
1.7000e-08,0.05365,0.475422
1.7400e-08,0.0536688,0.474078
1.7800e-08,0.0537219,0.475172
1.8200e-08,0.0536938,0.475187
1.8600e-08,0.0536469,0.475297
