Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-08
Horizontal Delay,4e-08
Sample Interval,4e-10
Record Length,10000
Gating,44.9900% to 55.00%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.06024
Vertical Scale,0.001
Vertical Position,-5
,
,
,
Label,
TIME,CH1
-7.4400e-08,0.06572
-7.4000e-08,0.06476
-7.3600e-08,0.0648
-7.3200e-08,0.06592
-7.2800e-08,0.06712
-7.2400e-08,0.06748
-7.2000e-08,0.06652
-7.1600e-08,0.06508
-7.1200e-08,0.064
-7.0800e-08,0.06372
-7.0400e-08,0.06396
-7.0000e-08,0.06456
-6.9600e-08,0.06492
-6.9200e-08,0.06504
-6.8800e-08,0.06484
-6.8400e-08,0.0644
-6.8000e-08,0.06372
-6.7600e-08,0.06336
-6.7200e-08,0.0634
-6.6800e-08,0.06384
-6.6400e-08,0.06468
-6.6000e-08,0.06568
-6.5600e-08,0.0666
-6.5200e-08,0.06704
-6.4800e-08,0.06696
-6.4400e-08,0.0664
-6.4000e-08,0.06584
-6.3600e-08,0.06536
-6.3200e-08,0.06512
-6.2800e-08,0.06488
-6.2400e-08,0.06452
-6.2000e-08,0.06408
-6.1600e-08,0.064
-6.1200e-08,0.0644
-6.0800e-08,0.0652
-6.0400e-08,0.06584
-6.0000e-08,0.06584
-5.9600e-08,0.06516
-5.9200e-08,0.06432
-5.8800e-08,0.06388
-5.8400e-08,0.064
-5.8000e-08,0.06444
-5.7600e-08,0.06488
-5.7200e-08,0.06524
-5.6800e-08,0.06552
-5.6400e-08,0.06592
-5.6000e-08,0.06624
-5.5600e-08,0.06616
-5.5200e-08,0.06576
-5.4800e-08,0.06536
-5.4400e-08,0.06532
-5.4000e-08,0.06564
-5.3600e-08,0.06616
-5.3200e-08,0.06656
-5.2800e-08,0.06644
-5.2400e-08,0.066
-5.2000e-08,0.06544
-5.1600e-08,0.0652
-5.1200e-08,0.06536
-5.0800e-08,0.066
-5.0400e-08,0.06636
-5.0000e-08,0.0664
-4.9600e-08,0.06616
-4.9200e-08,0.066
-4.8800e-08,0.06584
-4.8400e-08,0.0658
-4.8000e-08,0.06576
-4.7600e-08,0.0656
-4.7200e-08,0.06544
-4.6800e-08,0.06564
-4.6400e-08,0.066
-4.6000e-08,0.06636
-4.5600e-08,0.06636
-4.5200e-08,0.06616
-4.4800e-08,0.06592
-4.4400e-08,0.06592
-4.4000e-08,0.06588
-4.3600e-08,0.0658
-4.3200e-08,0.06548
-4.2800e-08,0.06492
-4.2400e-08,0.0646
-4.2000e-08,0.0646
-4.1600e-08,0.06496
-4.1200e-08,0.06548
-4.0800e-08,0.06596
-4.0400e-08,0.06624
-4.0000e-08,0.0662
-3.9600e-08,0.06588
-3.9200e-08,0.06536
-3.8800e-08,0.06492
-3.8400e-08,0.0646
-3.8000e-08,0.06452
-3.7600e-08,0.0648
-3.7200e-08,0.06528
-3.6800e-08,0.06592
-3.6400e-08,0.06644
-3.6000e-08,0.06668
-3.5600e-08,0.06656
-3.5200e-08,0.06624
-3.4800e-08,0.06568
-3.4400e-08,0.06488
-3.4000e-08,0.064
-3.3600e-08,0.06368
-3.3200e-08,0.06416
-3.2800e-08,0.065
-3.2400e-08,0.0656
-3.2000e-08,0.06564
-3.1600e-08,0.06508
-3.1200e-08,0.06436
-3.0800e-08,0.06396
-3.0400e-08,0.06408
-3.0000e-08,0.06456
-2.9600e-08,0.06512
-2.9200e-08,0.06576
-2.8800e-08,0.06636
-2.8400e-08,0.06688
-2.8000e-08,0.06692
-2.7600e-08,0.06628
-2.7200e-08,0.0652
-2.6800e-08,0.06428
-2.6400e-08,0.06424
-2.6000e-08,0.06508
-2.5600e-08,0.06624
-2.5200e-08,0.06696
-2.4800e-08,0.067
-2.4400e-08,0.06624
-2.4000e-08,0.06528
-2.3600e-08,0.06452
-2.3200e-08,0.06412
-2.2800e-08,0.0644
-2.2400e-08,0.06488
-2.2000e-08,0.06524
-2.1600e-08,0.06532
-2.1200e-08,0.06544
-2.0800e-08,0.0658
-2.0400e-08,0.06624
-2.0000e-08,0.06636
-1.9600e-08,0.06612
-1.9200e-08,0.0658
-1.8800e-08,0.06568
-1.8400e-08,0.06592
-1.8000e-08,0.06628
-1.7600e-08,0.06664
-1.7200e-08,0.06672
-1.6800e-08,0.06648
-1.6400e-08,0.06616
-1.6000e-08,0.06584
-1.5600e-08,0.0656
-1.5200e-08,0.06544
-1.4800e-08,0.06528
-1.4400e-08,0.06508
-1.4000e-08,0.06504
-1.3600e-08,0.06516
-1.3200e-08,0.06524
-1.2800e-08,0.06524
-1.2400e-08,0.06524
-1.2000e-08,0.065
-1.1600e-08,0.06472
-1.1200e-08,0.06468
-1.0800e-08,0.06504
-1.0400e-08,0.0656
-1.0000e-08,0.06616
-9.6000e-09,0.06652
-9.2000e-09,0.06668
-8.8000e-09,0.06676
-8.4000e-09,0.06676
-8.0000e-09,0.06652
-7.6000e-09,0.06608
-7.2000e-09,0.06548
-6.8000e-09,0.06524
-6.4000e-09,0.06528
-6.0000e-09,0.0658
-5.6000e-09,0.06648
-5.2000e-09,0.06692
-4.8000e-09,0.06684
-4.4000e-09,0.0666
-4.0000e-09,0.0664
-3.6000e-09,0.06624
-3.2000e-09,0.0662
-2.8000e-09,0.06644
-2.4000e-09,0.06672
-2.0000e-09,0.06688
-1.6000e-09,0.06676
-1.2000e-09,0.06664
-8.0000e-10,0.06636
-4.0000e-10,0.066
0.0000e+00,0.06584
4.0000e-10,0.06588
8.0000e-10,0.06604
1.2000e-09,0.06628
1.6000e-09,0.0668
2.0000e-09,0.06724
2.4000e-09,0.0672
2.8000e-09,0.06684
3.2000e-09,0.06628
3.6000e-09,0.06576
4.0000e-09,0.0656
4.4000e-09,0.0658
4.8000e-09,0.06616
5.2000e-09,0.06644
5.6000e-09,0.06652
6.0000e-09,0.06656
6.4000e-09,0.06644
6.8000e-09,0.06612
7.2000e-09,0.06592
7.6000e-09,0.06604
8.0000e-09,0.06624
8.4000e-09,0.06616
8.8000e-09,0.06584
9.2000e-09,0.06536
9.6000e-09,0.06532
1.0000e-08,0.066
1.0400e-08,0.06688
1.0800e-08,0.06712
1.1200e-08,0.06656
1.1600e-08,0.06548
1.2000e-08,0.06456
1.2400e-08,0.0642
1.2800e-08,0.06464
1.3200e-08,0.0654
1.3600e-08,0.06584
1.4000e-08,0.06596
1.4400e-08,0.06576
1.4800e-08,0.0654
1.5200e-08,0.06484
1.5600e-08,0.06424
1.6000e-08,0.06396
1.6400e-08,0.06432
1.6800e-08,0.06496
1.7200e-08,0.06584
1.7600e-08,0.0664
1.8000e-08,0.0666
1.8400e-08,0.0664
1.8800e-08,0.06596
1.9200e-08,0.0656
1.9600e-08,0.06552
2.0000e-08,0.0658
2.0400e-08,0.06604
2.0800e-08,0.06608
2.1200e-08,0.06596
2.1600e-08,0.066
2.2000e-08,0.06628
2.2400e-08,0.0666
2.2800e-08,0.06668
2.3200e-08,0.06632
2.3600e-08,0.0658
2.4000e-08,0.06552
2.4400e-08,0.06572
2.4800e-08,0.06624
2.5200e-08,0.06672
2.5600e-08,0.06676
2.6000e-08,0.06628
2.6400e-08,0.0656
2.6800e-08,0.06524
2.7200e-08,0.06536
2.7600e-08,0.06548
2.8000e-08,0.06544
2.8400e-08,0.06528
2.8800e-08,0.06528
2.9200e-08,0.06552
2.9600e-08,0.06584
3.0000e-08,0.06604
3.0400e-08,0.06596
3.0800e-08,0.06576
3.1200e-08,0.06556
3.1600e-08,0.06552
3.2000e-08,0.06548
3.2400e-08,0.0654
3.2800e-08,0.0654
3.3200e-08,0.06532
3.3600e-08,0.0654
3.4000e-08,0.06564
3.4400e-08,0.066
3.4800e-08,0.06624
3.5200e-08,0.06612
3.5600e-08,0.06576
3.6000e-08,0.06544
3.6400e-08,0.06532
3.6800e-08,0.06548
3.7200e-08,0.06584
3.7600e-08,0.06604
3.8000e-08,0.06572
3.8400e-08,0.06532
3.8800e-08,0.06496
3.9200e-08,0.06492
3.9600e-08,0.0652
4.0000e-08,0.0656
4.0400e-08,0.06616
4.0800e-08,0.06668
4.1200e-08,0.06692
4.1600e-08,0.06672
4.2000e-08,0.0664
4.2400e-08,0.06636
4.2800e-08,0.06648
4.3200e-08,0.06672
4.3600e-08,0.06688
4.4000e-08,0.067
4.4400e-08,0.0668
4.4800e-08,0.0664
4.5200e-08,0.06596
