Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-09,
Horizontal Delay,8.28e-09,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.4900% to 50.500%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0602,
Vertical Scale,0.02,
Vertical Position,-3.42,
,,
,,
,,
Label,,
TIME,CH1,CH4
-1.2120e-08,0.0895687,-0.00346562
-1.1720e-08,0.0895719,-0.0033
-1.1320e-08,0.0895344,-0.00329375
-1.0920e-08,0.0894906,-0.00332187
-1.0520e-08,0.0894406,-0.00338437
-1.0120e-08,0.0895219,-0.00335625
-9.7200e-09,0.0895375,-0.0032875
-9.3200e-09,0.0895687,-0.00329375
-8.9200e-09,0.0894062,-0.00336562
-8.5200e-09,0.0895156,-0.00330937
-8.1200e-09,0.0895562,-0.00325
-7.7200e-09,0.0894719,-0.00331875
-7.3200e-09,0.0894281,-0.00339375
-6.9200e-09,0.0895406,-0.00331562
-6.5200e-09,0.0895125,-0.00334687
-6.1200e-09,0.0894906,-0.003325
-5.7200e-09,0.0894437,-0.00338125
-5.3200e-09,0.0896062,-0.00325937
-4.9200e-09,0.08955,-0.00331875
-4.5200e-09,0.0894969,-0.00330625
-4.1200e-09,0.0894656,-0.00335
-3.7200e-09,0.0895062,-0.0032625
-3.3200e-09,0.08945,-0.00332187
-2.9200e-09,0.08955,-0.00320625
-2.5200e-09,0.0894312,-0.00338125
-2.1200e-09,0.0894937,-0.00332187
-1.7200e-09,0.0894625,-0.00338125
-1.3200e-09,0.089575,-0.00350625
-9.2000e-10,0.0894469,-0.000334375
-5.2000e-10,0.0895375,0.0200156
-1.2000e-10,0.0896187,0.0573063
2.8000e-10,0.0895969,0.0874844
6.8000e-10,0.0895312,0.100772
1.0800e-09,0.0895375,0.105684
1.4800e-09,0.0894906,0.108066
1.8800e-09,0.0894812,0.109278
2.2800e-09,0.0894375,0.109469
2.6800e-09,0.089525,0.109197
3.0800e-09,0.0895281,0.108834
3.4800e-09,0.0895156,0.108472
3.8800e-09,0.0894375,0.108222
4.2800e-09,0.0894781,0.108456
4.6800e-09,0.0895125,0.108553
5.0800e-09,0.0895062,0.108494
5.4800e-09,0.0894656,0.108491
5.8800e-09,0.0895906,0.108644
6.2800e-09,0.0895281,0.108713
6.6800e-09,0.0894969,0.10875
7.0800e-09,0.0894094,0.108644
7.4800e-09,0.0896281,0.108681
7.8800e-09,0.0895469,0.108653
8.2800e-09,0.0894656,0.108881
8.6800e-09,0.0894656,0.109109
9.0800e-09,0.0895031,0.109094
9.4800e-09,0.0894125,0.107691
9.8800e-09,0.0895281,0.106169
1.0280e-08,0.089475,0.105581
1.0680e-08,0.0894906,0.105747
1.1080e-08,0.08945,0.106025
1.1480e-08,0.089525,0.106406
1.1880e-08,0.0894469,0.106575
1.2280e-08,0.0894594,0.106303
1.2680e-08,0.0896375,0.106122
1.3080e-08,0.0898,0.106178
1.3480e-08,0.0912031,0.106169
1.3880e-08,0.0959344,0.106203
1.4280e-08,0.106044,0.10625
1.4680e-08,0.121794,0.106106
1.5080e-08,0.140484,0.106009
1.5480e-08,0.158087,0.106181
1.5880e-08,0.171038,0.106325
1.6280e-08,0.178228,0.106003
1.6680e-08,0.180897,0.105306
1.7080e-08,0.181816,0.105231
1.7480e-08,0.182541,0.105463
1.7880e-08,0.184219,0.105472
1.8280e-08,0.186653,0.105422
1.8680e-08,0.189047,0.10545
1.9080e-08,0.19065,0.105394
1.9480e-08,0.191163,0.105213
1.9880e-08,0.190675,0.105181
2.0280e-08,0.189806,0.105184
2.0680e-08,0.189197,0.105103
2.1080e-08,0.189306,0.104891
2.1480e-08,0.190031,0.104897
2.1880e-08,0.191213,0.104881
2.2280e-08,0.192184,0.104763
2.2680e-08,0.192691,0.10485
2.3080e-08,0.192619,0.104806
2.3480e-08,0.192213,0.104697
2.3880e-08,0.191587,0.104572
2.4280e-08,0.191222,0.104547
2.4680e-08,0.190997,0.104559
2.5080e-08,0.190988,0.10445
2.5480e-08,0.191287,0.1044
2.5880e-08,0.191763,0.104397
2.6280e-08,0.193084,0.104284
2.6680e-08,0.195731,0.104234
2.7080e-08,0.19905,0.104141
2.7480e-08,0.20185,0.104066
2.7880e-08,0.202891,0.103991

