Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,3.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.8600% to 50.8600%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,2.14,
,,
,,
,,
Label,,
TIME,CH1,CH4
3.0600e-08,-0.0581281,-0.0197266
3.1000e-08,-0.0581313,-0.0164922
3.1400e-08,-0.0581078,-0.0159688
3.1800e-08,-0.0581531,-0.0169453
3.2200e-08,-0.0581188,-0.0175391
3.2600e-08,-0.0581188,-0.0181641
3.3000e-08,-0.0581719,-0.0187891
3.3400e-08,-0.0581891,-0.0189844
3.3800e-08,-0.0581391,-0.0192266
3.4200e-08,-0.058175,-0.0200156
3.4600e-08,-0.0581656,-0.0204922
3.5000e-08,-0.0582078,-0.0208906
3.5400e-08,-0.0581125,-0.0206406
3.5800e-08,-0.0581375,-0.0218359
3.6200e-08,-0.0581734,-0.0227578
3.6600e-08,-0.0581859,-0.0227344
3.7000e-08,-0.0581406,-0.021875
3.7400e-08,-0.0581844,-0.0218594
3.7800e-08,-0.0581422,-0.0222422
3.8200e-08,-0.0581703,-0.0229063
3.8600e-08,-0.0581563,-0.0234609
3.9000e-08,-0.0581734,-0.0239141
3.9400e-08,-0.0581031,-0.0239063
3.9800e-08,-0.0581438,-0.0240547
4.0200e-08,-0.0581891,-0.0242031
4.0600e-08,-0.0581281,-0.0243828
4.1000e-08,-0.0581516,-0.0251016
4.1400e-08,-0.0581703,-0.0257656
4.1800e-08,-0.0581594,-0.0251875
4.2200e-08,-0.058175,-0.0246719
4.2600e-08,-0.0581781,-0.0248359
4.3000e-08,-0.0582109,-0.0252734
4.3400e-08,-0.0581484,-0.0252656
4.3800e-08,-0.0581813,-0.0252656
4.4200e-08,-0.0581016,-0.0252031
4.4600e-08,-0.0578078,-0.0255469
4.5000e-08,-0.0559734,-0.0253359
4.5400e-08,-0.0507063,-0.0251484
4.5800e-08,-0.0402797,-0.0253594
4.6200e-08,-0.0249141,-0.0253672
4.6600e-08,-0.00785156,-0.0247969
4.7000e-08,0.0068125,-0.02475
4.7400e-08,0.0163328,-0.0247969
4.7800e-08,0.0200844,-0.0247969
4.8200e-08,0.0192641,-0.0243203
4.8600e-08,0.0157469,-0.0242891
4.9000e-08,0.0114469,-0.0242734
4.9400e-08,0.00799531,-0.0239453
4.9800e-08,0.00622344,-0.0233984
5.0200e-08,0.00599531,-0.0226172
5.0600e-08,0.00670781,-0.021625
5.1000e-08,0.00740312,-0.0210547
5.1400e-08,0.0076,-0.0207891
5.1800e-08,0.00721719,-0.0206641
5.2200e-08,0.00662969,-0.0201406
5.2600e-08,0.00623906,-0.0197813
5.3000e-08,0.00642031,-0.0193594
5.3400e-08,0.0071125,-0.0184844
5.3800e-08,0.00798594,-0.0180469
5.4200e-08,0.00866875,-0.0176328
5.4600e-08,0.00890156,-0.0163359
5.5000e-08,0.008625,-0.0157031
5.5400e-08,0.00800625,-0.0151172
5.5800e-08,0.00741094,-0.0144766
5.6200e-08,0.00715312,-0.0137422
5.6600e-08,0.00716094,-0.0129063
5.7000e-08,0.00741094,-0.0121484
5.7400e-08,0.00767969,-0.0117344
5.7800e-08,0.00785781,-0.0110469
5.8200e-08,0.00791562,-0.0102031
5.8600e-08,0.00774219,-0.00994531
5.9000e-08,0.00751719,-0.00973438
5.9400e-08,0.00728906,-0.00917969
5.9800e-08,0.00719687,-0.00872656
6.0200e-08,0.00719844,-0.0080625
6.0600e-08,0.00727812,-0.00763281
6.1000e-08,0.00746094,-0.00692188
6.1400e-08,0.00747656,-0.00652344
6.1800e-08,0.00741562,-0.00632031
6.2200e-08,0.00725312,-0.00601562
6.2600e-08,0.00706562,-0.00577344
6.3000e-08,0.00686563,-0.00563281
6.3400e-08,0.00675312,-0.00504688
6.3800e-08,0.00669062,-0.00500781
6.4200e-08,0.00675781,-0.00469531
6.4600e-08,0.00662031,-0.00471875
6.5000e-08,0.00556875,-0.00441406
6.5400e-08,0.00179062,-0.00445313
6.5800e-08,-0.00659531,-0.00423437
6.6200e-08,-0.0198328,-0.00415625
6.6600e-08,-0.0360313,-0.004125
6.7000e-08,-0.0516266,-0.00423437
6.7400e-08,-0.0635453,-0.00416406
6.7800e-08,-0.0703328,-0.00424219
6.8200e-08,-0.0720766,-0.00415625
6.8600e-08,-0.0701984,-0.00410937
6.9000e-08,-0.0662281,-0.0041875
6.9400e-08,-0.0618625,-0.00454688
6.9800e-08,-0.0583469,-0.00457813
7.0200e-08,-0.0563297,-0.0050625

