Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,8e-07,
Horizontal Delay,9.9e-09,
Sample Interval,8e-10,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,2.38,
,,
,,
,,
Label,,
TIME,CH1,CH4
-3.9901e-06,-0.0584938,-0.0029375
-3.9893e-06,-0.0584906,-0.00307813
-3.9885e-06,-0.0584453,-0.00300781
-3.9877e-06,-0.0584344,-0.003
-3.9869e-06,-0.0585,-0.00295313
-3.9861e-06,-0.0585281,-0.00310937
-3.9853e-06,-0.0584688,-0.00307813
-3.9845e-06,-0.0584875,-0.00308594
-3.9837e-06,-0.0584563,-0.00303906
-3.9829e-06,-0.0585234,-0.00301562
-3.9821e-06,-0.0585078,-0.00325781
-3.9813e-06,-0.0584656,-0.00309375
-3.9805e-06,-0.0584453,-0.00279688
-3.9797e-06,-0.0585047,-0.00300781
-3.9789e-06,-0.0584875,-0.00313281
-3.9781e-06,-0.0584906,-0.00298437
-3.9773e-06,-0.0584922,-0.00303125
-3.9765e-06,-0.0584563,-0.00302344
-3.9757e-06,-0.0584703,-0.00321094
-3.9749e-06,-0.0584891,-0.00305469
-3.9741e-06,-0.0585094,-0.00296875
-3.9733e-06,-0.058475,-0.0029375
-3.9725e-06,-0.0584797,-0.00290625
-3.9717e-06,-0.0584563,-0.00303906
-3.9709e-06,-0.058475,-0.00314844
-3.9701e-06,-0.0584906,-0.00308594
-3.9693e-06,-0.0584578,-0.00282031
-3.9685e-06,-0.0584938,-0.003125
-3.9677e-06,-0.0584875,-0.00314062
-3.9669e-06,-0.0584781,-0.00314062
-3.9661e-06,-0.0584516,-0.00307031
-3.9653e-06,-0.0584578,-0.00290625
-3.9645e-06,-0.0585016,-0.003
-3.9637e-06,-0.0584734,-0.003
-3.9629e-06,-0.0584688,-0.00299219
-3.9621e-06,-0.05845,-0.00295313
-3.9613e-06,-0.0584578,-0.00307031
-3.9605e-06,-0.0585063,-0.00308594
-3.9597e-06,-0.0584438,-0.00296875
-3.9589e-06,-0.0585094,-0.0030625
-3.9581e-06,-0.0584578,-0.00304688
-3.9573e-06,-0.0584953,-0.00316406
-3.9565e-06,-0.0584813,-0.00321875
-3.9557e-06,-0.0584563,-0.00314062
-3.9549e-06,-0.0584375,-0.0026875
-3.9541e-06,-0.0584906,-0.00286719
-3.9533e-06,-0.0584656,-0.00308594
-3.9525e-06,-0.05845,-0.00307031
-3.9517e-06,-0.0584297,-0.00304688
-3.9509e-06,-0.0584797,-0.00303906
-3.9501e-06,-0.0584578,-0.00324219
-3.9493e-06,-0.0584516,-0.00314062
-3.9485e-06,-0.05845,-0.00294531
-3.9477e-06,-0.0584391,-0.00292188
-3.9469e-06,-0.0584906,-0.00303906
-3.9461e-06,-0.0584563,-0.00288281
-3.9453e-06,-0.0584422,-0.003125
-3.9445e-06,-0.0584969,-0.00310156
-3.9437e-06,-0.0584703,-0.00274219
-3.9429e-06,-0.0584844,-0.00315625
-3.9421e-06,-0.0584656,-0.00320313
