LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:56:05,0                 
Time,Ampl
-1.18155e-08,-0.8343879
-1.17155e-08,-0.8346422
-1.16155e-08,-0.8347901
-1.15155e-08,-0.834746
-1.14155e-08,-0.834672
-1.13155e-08,-0.8346707
-1.12155e-08,-0.8346474
-1.11155e-08,-0.8345436
-1.10155e-08,-0.8343399
-1.09155e-08,-0.8340857
-1.08155e-08,-0.8339054
-1.07155e-08,-0.8338846
-1.06155e-08,-0.8340493
-1.05155e-08,-0.8342647
-1.04155e-08,-0.8343373
-1.03155e-08,-0.8342906
-1.02155e-08,-0.834279
-1.01155e-08,-0.834327
-1.00155e-08,-0.834279
-9.91546e-09,-0.834144
-9.81546e-09,-0.8340545
-9.71546e-09,-0.8339378
-9.61546e-09,-0.8337419
-9.51546e-09,-0.833629
-9.41546e-09,-0.8336848
-9.31546e-09,-0.8338003
-9.21546e-09,-0.8339157
-9.11546e-09,-0.8340143
-9.01546e-09,-0.8341012
-8.91546e-09,-0.8342258
-8.81546e-09,-0.8342958
-8.71546e-09,-0.8342712
-8.61546e-09,-0.8342777
-8.51546e-09,-0.834288
-8.41546e-09,-0.8341635
-8.31546e-09,-0.8340234
-8.21546e-09,-0.834039
-8.11546e-09,-0.8340909
-8.01546e-09,-0.8340792
-7.91546e-09,-0.8341012
-7.81546e-09,-0.8342076
-7.71546e-09,-0.8343257
-7.61546e-09,-0.834384
-7.51546e-09,-0.8344398
-7.41546e-09,-0.8344671
-7.31546e-09,-0.8343827
-7.21546e-09,-0.8343127
-7.11546e-09,-0.8343283
-7.01546e-09,-0.834314
-6.91546e-09,-0.8342556
-6.81546e-09,-0.8342595
-6.71546e-09,-0.8343218
-6.61546e-09,-0.8343672
-6.51546e-09,-0.834384
-6.41546e-09,-0.8343853
-6.31546e-09,-0.8343373
-6.21546e-09,-0.8342128
-6.11546e-09,-0.8340467
-6.01546e-09,-0.8338249
-5.91546e-09,-0.8336174
-5.81546e-09,-0.8335655
-5.71546e-09,-0.8336718
-5.61546e-09,-0.8338068
-5.51546e-09,-0.8338807
-5.41546e-09,-0.8339858
-5.31546e-09,-0.8341765
-5.21546e-09,-0.8343334
-5.11546e-09,-0.8344437
-5.01546e-09,-0.8345267
-4.91546e-09,-0.8345592
-4.81546e-09,-0.8345164
-4.71546e-09,-0.834432
-4.61546e-09,-0.8344242
-4.51546e-09,-0.8344852
-4.41546e-09,-0.8345319
-4.31546e-09,-0.8345073
-4.21546e-09,-0.8343879
-4.11546e-09,-0.8342621
-4.01546e-09,-0.8342439
-3.91546e-09,-0.8343516
-3.81546e-09,-0.8344813
-3.71546e-09,-0.8345047
-3.61546e-09,-0.8344437
-3.51546e-09,-0.8344346
-3.41546e-09,-0.8345332
-3.31546e-09,-0.8346085
-3.21546e-09,-0.8345955
-3.11546e-09,-0.8346513
-3.01546e-09,-0.8348277
-2.91546e-09,-0.8349885
-2.81546e-09,-0.834973
-2.71546e-09,-0.8347875
-2.61546e-09,-0.8346085
-2.51546e-09,-0.8344813
-2.41546e-09,-0.8343464
-2.31546e-09,-0.8342828
-2.21546e-09,-0.8343568
-2.11546e-09,-0.8344735
-2.01546e-09,-0.834541
-1.91546e-09,-0.8345151
-1.81546e-09,-0.8343918
-1.71546e-09,-0.8342621
-1.61546e-09,-0.8342426
-1.51546e-09,-0.8343075
-1.41546e-09,-0.834362
-1.31546e-09,-0.834384
-1.21546e-09,-0.8343853
-1.11546e-09,-0.8344242
-1.01546e-09,-0.8344969
-9.15458e-10,-0.8344969
-8.15458e-10,-0.8344346
-7.15458e-10,-0.8344748
-6.15458e-10,-0.8346085
-5.15458e-10,-0.8346539
-4.15458e-10,-0.8345643
-3.15458e-10,-0.8344852
-2.15458e-10,-0.8345812
-1.15458e-10,-0.8347174
-1.54584e-11,-0.834707
8.45416e-11,-0.8346616
1.84542e-10,-0.8346746
2.84542e-10,-0.8346513
3.84542e-10,-0.8345449
4.84542e-10,-0.8344268
5.84542e-10,-0.8344567
6.84542e-10,-0.8345955
7.84542e-10,-0.8346487
8.84542e-10,-0.8346072
9.84542e-10,-0.8345618
1.08454e-09,-0.8344956
1.18454e-09,-0.8343711
1.28454e-09,-0.8342958
1.38454e-09,-0.834362
1.48454e-09,-0.8344735
1.58454e-09,-0.8345397
1.68454e-09,-0.8345592
1.78454e-09,-0.8345994
1.88454e-09,-0.834624
1.98454e-09,-0.8345008
2.08454e-09,-0.8343153
2.18454e-09,-0.8342971
2.28454e-09,-0.8344645
2.38454e-09,-0.8345501
2.48454e-09,-0.8344826
2.58454e-09,-0.8344515
2.68454e-09,-0.8344476
2.78454e-09,-0.8343646
2.88454e-09,-0.8343049
2.98454e-09,-0.8343698
3.08454e-09,-0.8344346
3.18454e-09,-0.8343775
3.28454e-09,-0.8342738
3.38454e-09,-0.8342128
3.48454e-09,-0.8342374
3.58454e-09,-0.8343607
3.68454e-09,-0.8344463
3.78454e-09,-0.8343892
3.88454e-09,-0.8342361
3.98454e-09,-0.8340493
4.08454e-09,-0.8339079
4.18454e-09,-0.8338976
4.28454e-09,-0.8340143
4.38454e-09,-0.8341933
4.48454e-09,-0.8343373
4.58454e-09,-0.8343529
4.68454e-09,-0.8342828
4.78454e-09,-0.8342686
4.88454e-09,-0.8343231
4.98454e-09,-0.8343218
5.08454e-09,-0.8342206
5.18454e-09,-0.834144
5.28454e-09,-0.8342011
5.38454e-09,-0.8342647
5.48454e-09,-0.8342102
5.58454e-09,-0.8341518
5.68454e-09,-0.8342102
5.78454e-09,-0.8343127
5.88454e-09,-0.8343308
5.98454e-09,-0.8341856
6.08454e-09,-0.8340286
6.18454e-09,-0.8340364
6.28454e-09,-0.834087
6.38454e-09,-0.8341207
6.48454e-09,-0.8342647
6.58454e-09,-0.8344489
6.68454e-09,-0.8345488
6.78454e-09,-0.8345721
6.88454e-09,-0.8346085
6.98454e-09,-0.834672
7.08454e-09,-0.8346655
7.18454e-09,-0.8346435
7.28454e-09,-0.8346292
7.38454e-09,-0.8345799
7.48454e-09,-0.8345462
7.58454e-09,-0.8344917
7.68454e-09,-0.8344165
7.78454e-09,-0.8344178
7.88454e-09,-0.8344826
7.98454e-09,-0.8344878
8.08454e-09,-0.8344748
8.18454e-09,-0.834506
8.28454e-09,-0.8344904
8.38454e-09,-0.8343814
8.48454e-09,-0.8342621
8.58454e-09,-0.8342024
8.68454e-09,-0.8341894
8.78454e-09,-0.8341959
8.88454e-09,-0.834205
8.98454e-09,-0.8342971
9.08454e-09,-0.8344502
9.18454e-09,-0.83441
