Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,6.51e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,48.7400% to 51.2500%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0.0318,,
Vertical Scale,0.01,,
Vertical Position,-3.68,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
6.7100e-08,0.0902,-1.72,0.0532
6.7500e-08,0.0906,-1.76,0.0532
6.7900e-08,0.0898,-1.76,0.0532
6.8300e-08,0.089,-1.8,0.0532
6.8700e-08,0.0878,-1.76,0.0536
6.9100e-08,0.0878,-1.76,0.0544
6.9500e-08,0.0878,-1.76,0.0552
6.9900e-08,0.0878,-1.8,0.0556
7.0300e-08,0.0886,-1.8,0.0556
7.0700e-08,0.0894,-1.8,0.0556
7.1100e-08,0.0906,-1.8,0.0556
7.1500e-08,0.091,-1.8,0.0544
7.1900e-08,0.091,-1.8,0.0536
7.2300e-08,0.0902,-1.76,0.0532
7.2700e-08,0.089,-1.72,0.0532
7.3100e-08,0.0882,-1.76,0.0544
7.3500e-08,0.0882,-1.8,0.0536
7.3900e-08,0.0878,-1.8,0.0544
7.4300e-08,0.0882,-1.8,0.0544
7.4700e-08,0.089,-1.76,0.056
7.5100e-08,0.0898,-1.72,0.056
7.5500e-08,0.0906,-1.72,0.0552
7.5900e-08,0.091,-1.76,0.0536
7.6300e-08,0.091,-1.72,0.054
7.6700e-08,0.0902,-1.76,0.054
7.7100e-08,0.089,-1.72,0.0536
7.7500e-08,0.0886,-1.72,0.054
7.7900e-08,0.0882,-1.72,0.054
7.8300e-08,0.089,-1.72,0.0556
7.8700e-08,0.089,-1.72,0.0552
7.9100e-08,0.0894,-1.72,0.0552
7.9500e-08,0.0902,-1.76,0.0552
7.9900e-08,0.0902,-1.72,0.0552
8.0300e-08,0.0898,-1.76,0.0548
8.0700e-08,0.0882,-1.76,0.0532
8.1100e-08,0.0886,-1.76,0.0532
8.1500e-08,0.0886,-1.76,0.0528
8.1900e-08,0.089,-1.76,0.0544
8.2300e-08,0.0906,-1.72,0.054
8.2700e-08,0.0902,-1.72,0.0548
8.3100e-08,0.0886,-1.72,0.0556
8.3500e-08,0.0886,-1.48,0.056
8.3900e-08,0.0898,-1.24,0.0556
8.4300e-08,0.0926,-0.88,0.0544
8.4700e-08,0.0938,-0.64,0.054
8.5100e-08,0.0922,-0.64,0.054
8.5500e-08,0.0894,-0.52,0.0536
8.5900e-08,0.087,-0.52,0.0532
8.6300e-08,0.0866,-0.4,0.0532
8.6700e-08,0.087,-0.4,0.0548
8.7100e-08,0.0886,-0.4,0.056
8.7500e-08,0.0886,-0.44,0.056
8.7900e-08,0.089,-0.36,0.056
8.8300e-08,0.0898,-0.36,0.0552
8.8700e-08,0.0902,-0.4,0.0548
8.9100e-08,0.0902,-0.36,0.054
8.9500e-08,0.0886,-0.4,0.0532
8.9900e-08,0.0866,-0.4,0.0532
9.0300e-08,0.0862,-0.4,0.0536
9.0700e-08,0.0866,-0.36,0.0532
9.1100e-08,0.0878,-0.4,0.054
9.1500e-08,0.0898,-0.4,0.054
9.1900e-08,0.0914,-0.36,0.056
9.2300e-08,0.0918,-0.36,0.0564
9.2700e-08,0.0914,-0.52,0.056
9.3100e-08,0.0906,-0.88,0.0548
9.3500e-08,0.0898,-1.16,0.0536
9.3900e-08,0.0894,-1.36,0.054
9.4300e-08,0.0894,-1.48,0.0532
9.4700e-08,0.0894,-1.6,0.0532
9.5100e-08,0.089,-1.64,0.0532
9.5500e-08,0.089,-1.64,0.0544
9.5900e-08,0.089,-1.68,0.0552
9.6300e-08,0.0894,-1.72,0.0556
9.6700e-08,0.0902,-1.64,0.0556
9.7100e-08,0.0902,-1.72,0.0552
9.7500e-08,0.0886,-1.68,0.0548
9.7900e-08,0.0886,-1.72,0.054
9.8300e-08,0.0882,-1.72,0.0532
9.8700e-08,0.089,-1.76,0.0528
9.9100e-08,0.0898,-1.76,0.0536
9.9500e-08,0.0894,-1.72,0.054
9.9900e-08,0.089,-1.68,0.0544
1.0030e-07,0.0886,-1.76,0.0548
1.0070e-07,0.0886,-1.68,0.056
1.0110e-07,0.0894,-1.72,0.056
1.0150e-07,0.0894,-1.72,0.056
1.0190e-07,0.0898,-1.72,0.0552
1.0230e-07,0.0906,-1.76,0.0536
1.0270e-07,0.0902,-1.72,0.0536
1.0310e-07,0.0906,-1.72,0.0532
1.0350e-07,0.0906,-1.76,0.0532
1.0390e-07,0.0906,-1.72,0.0532
1.0430e-07,0.0898,-1.72,0.0552
1.0470e-07,0.089,-1.76,0.0564
1.0510e-07,0.089,-1.76,0.056
1.0550e-07,0.0894,-1.72,0.0556
1.0590e-07,0.0898,-1.72,0.056
1.0630e-07,0.0906,-1.72,0.0548
1.0670e-07,0.0914,-1.72,0.0536
1.0710e-07,0.091,-1.72,0.0532
