Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
4.1600e-08,0.0530469,0.0394875,0.457609
4.2000e-08,0.0531719,0.0395531,0.457828
4.2400e-08,0.05315,0.0395297,0.457781
4.2800e-08,0.0531813,0.0395031,0.457469
4.3200e-08,0.0531063,0.0395266,0.456672
4.3600e-08,0.0532063,0.0395422,0.456875
4.4000e-08,0.0531188,0.0394641,0.456234
4.4400e-08,0.0532844,0.0395594,0.456672
4.4800e-08,0.0539063,0.0395656,0.456078
4.5200e-08,0.0568813,0.0398047,0.455844
4.5600e-08,0.0655406,0.0407641,0.455172
4.6000e-08,0.0826844,0.0431,0.455266
4.6400e-08,0.107656,0.0472438,0.454562
4.6800e-08,0.135966,0.0533234,0.454625
4.7200e-08,0.160406,0.0608719,0.454609
4.7600e-08,0.175863,0.0686547,0.454266
4.8000e-08,0.180028,0.075425,0.453516
4.8400e-08,0.175775,0.0801141,0.453797
4.8800e-08,0.167975,0.0821984,0.453453
4.9200e-08,0.161891,0.0822875,0.452391
4.9600e-08,0.159556,0.0811703,0.421375
5.0000e-08,0.160231,0.0798547,0.299891
5.0400e-08,0.161663,0.0789891,0.134391
5.0800e-08,0.162144,0.078675,0.0268594
5.1200e-08,0.160572,0.0785469,-0.0148438
5.1600e-08,0.157997,0.0783922,-0.0311562
5.2000e-08,0.156016,0.0778484,-0.039125
5.2400e-08,0.155816,0.0769766,-0.0429531
5.2800e-08,0.157528,0.0761688,-0.0436563
5.3200e-08,0.160369,0.0757391,-0.0414844
5.3600e-08,0.162831,0.0758453,-0.0399844
5.4000e-08,0.163913,0.0764125,-0.0401406
5.4400e-08,0.163275,0.0771172,-0.041
5.4800e-08,0.161619,0.077675,-0.0419375
5.5200e-08,0.159856,0.0778,-0.0429688
5.5600e-08,0.158819,0.0774719,-0.0435156
5.6000e-08,0.158856,0.0768734,-0.0438281
5.6400e-08,0.160063,0.0764484,-0.0439063
5.6800e-08,0.161278,0.0762797,-0.0446719
5.7200e-08,0.162056,0.0764609,-0.044375
5.7600e-08,0.16175,0.076825,-0.0450938
5.8000e-08,0.161025,0.0771672,-0.0451094
5.8400e-08,0.160003,0.0772188,-0.04525
5.8800e-08,0.159388,0.0771141,-0.0455312
5.9200e-08,0.159459,0.0767844,-0.0475156
5.9600e-08,0.160028,0.0763828,-0.0509219
6.0000e-08,0.160713,0.0762328,-0.0538281
6.0400e-08,0.160997,0.0762875,-0.0499219
6.0800e-08,0.160934,0.0765313,-0.0440781
6.1200e-08,0.160644,0.0768063,-0.0422969
6.1600e-08,0.160078,0.0769016,-0.0432031
6.2000e-08,0.159684,0.0768984,-0.0437188
6.2400e-08,0.159509,0.0767469,-0.0437344
6.2800e-08,0.159616,0.0765781,-0.0439531
6.3200e-08,0.159756,0.0763719,-0.0441875
6.3600e-08,0.159931,0.0763125,-0.0437813
6.4000e-08,0.159819,0.0763125,-0.0446406
6.4400e-08,0.159653,0.0764453,-0.0450156
6.4800e-08,0.159547,0.0766063,-0.0443125
6.5200e-08,0.159463,0.0766141,-0.0438906
6.5600e-08,0.159394,0.0765187,-0.0441406
6.6000e-08,0.159475,0.0763641,-0.0457813
6.6400e-08,0.159559,0.0762422,-0.0452813
6.6800e-08,0.159591,0.0761922,-0.04325
6.7200e-08,0.159419,0.0761734,-0.0427813
6.7600e-08,0.159375,0.0763047,-0.042875
6.8000e-08,0.159169,0.0763484,-0.0432188
6.8400e-08,0.158941,0.0763672,-0.04325
6.8800e-08,0.158763,0.0763078,-0.0437031
6.9200e-08,0.158781,0.0761906,-0.0434688
6.9600e-08,0.158691,0.0760703,-0.0434063
7.0000e-08,0.158803,0.0760516,-0.0429375
7.0400e-08,0.158609,0.0759344,-0.0437344
7.0800e-08,0.158566,0.0759453,-0.0434531
7.1200e-08,0.158444,0.0759766,-0.0430781
7.1600e-08,0.158291,0.0760109,-0.0433281
7.2000e-08,0.158156,0.0759953,-0.0430938
7.2400e-08,0.15805,0.0759453,-0.042875
7.2800e-08,0.158119,0.0759,-0.0422031
7.3200e-08,0.157903,0.0758375,-0.0432344
7.3600e-08,0.157863,0.0758,-0.0433437
7.4000e-08,0.157853,0.0757703,-0.0425781
7.4400e-08,0.157716,0.0757141,-0.0424844
7.4800e-08,0.157547,0.0757391,-0.0425625
7.5200e-08,0.157453,0.0756516,-0.0427344
7.5600e-08,0.157469,0.0756656,-0.0422813
7.6000e-08,0.157356,0.0755938,-0.0426563
7.6400e-08,0.157322,0.0755656,-0.0425156
7.6800e-08,0.157219,0.0755,-0.0424844
7.7200e-08,0.157134,0.0754875,-0.0423594
7.7600e-08,0.157016,0.0754781,-0.042375
7.8000e-08,0.156878,0.0754563,-0.0423125
7.8400e-08,0.156847,0.0754484,-0.0420781
7.8800e-08,0.156741,0.0753844,-0.0420625
7.9200e-08,0.1566,0.0753172,-0.0422031
7.9600e-08,0.156609,0.0752969,-0.0420938
8.0000e-08,0.156403,0.0751922,-0.0421406
8.0400e-08,0.156406,0.0752422,-0.0415781
8.0800e-08,0.156291,0.0752188,-0.0417031
8.1200e-08,0.156169,0.0752031,-0.0416094
8.1600e-08,0.156034,0.0751719,-0.0417813
8.2000e-08,0.155978,0.0751688,-0.0416094
8.2400e-08,0.155813,0.0750688,-0.0419375
8.2800e-08,0.155878,0.0750922,-0.041375
8.3200e-08,0.155738,0.0750359,-0.0417813
8.3600e-08,0.155697,0.0749984,-0.0417813
8.4000e-08,0.155597,0.0749297,-0.0418594
8.4400e-08,0.155478,0.0749391,-0.0415938
8.4800e-08,0.155406,0.0748562,-0.0415156
8.5200e-08,0.155278,0.0748641,-0.041875
8.5600e-08,0.1553,0.0748703,-0.0409063
8.6000e-08,0.155172,0.0747641,-0.0410156
8.6400e-08,0.155103,0.0747016,-0.0410469
8.6800e-08,0.15505,0.07475,-0.0409688
8.7200e-08,0.154916,0.0746734,-0.0413437
8.7600e-08,0.154784,0.0746547,-0.0416094
8.8000e-08,0.154641,0.0746078,-0.0414844
8.8400e-08,0.15455,0.0745641,-0.0410156
8.8800e-08,0.154475,0.0745719,-0.0412187
8.9200e-08,0.154391,0.0745625,-0.0407813
8.9600e-08,0.154266,0.0744656,-0.0413437
9.0000e-08,0.154306,0.0744656,-0.040875
9.0400e-08,0.154284,0.0744641,-0.0407031
9.0800e-08,0.154166,0.0743859,-0.0410625
9.1200e-08,0.154044,0.0743297,-0.0410312
9.1600e-08,0.153913,0.0743328,-0.0408125
9.2000e-08,0.153778,0.0742766,-0.0409844
9.2400e-08,0.153722,0.0742469,-0.0408281
9.2800e-08,0.153659,0.0742141,-0.0413594
9.3200e-08,0.153591,0.0742031,-0.0406094
9.3600e-08,0.153459,0.0741609,-0.0408906
9.4000e-08,0.153375,0.0741266,-0.0408437

