Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-09,,
Horizontal Delay,3.9e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.4900% to 50.500%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0.0318,,
Vertical Scale,0.01,,
Vertical Position,-3.68,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.8600e-08,0.0885062,-1.80266,0.0530938
1.9000e-08,0.0886094,-1.7925,0.0534125
1.9400e-08,0.0886016,-1.79453,0.0531313
1.9800e-08,0.0885047,-1.79734,0.0526422
2.0200e-08,0.0884531,-1.79937,0.0522531
2.0600e-08,0.0884437,-1.79937,0.0520313
2.1000e-08,0.0884672,-1.79719,0.0520859
2.1400e-08,0.0885219,-1.79438,0.0528766
2.1800e-08,0.0884844,-1.80078,0.0551281
2.2200e-08,0.0884828,-1.79813,0.059025
2.2600e-08,0.0885141,-1.79375,0.0633703
2.3000e-08,0.0884703,-1.79469,0.0672609
2.3400e-08,0.0884828,-1.79875,0.0703578
2.3800e-08,0.0885266,-1.79391,0.0728391
2.4200e-08,0.0885328,-1.79656,0.0753172
2.4600e-08,0.0885328,-1.79688,0.0779391
2.5000e-08,0.0885094,-1.79906,0.0795781
2.5400e-08,0.0885422,-1.78953,0.0798625
2.5800e-08,0.0884391,-1.79312,0.0796219
2.6200e-08,0.0884766,-1.79609,0.0797078
2.6600e-08,0.0885047,-1.79563,0.0797703
2.7000e-08,0.0885719,-1.79594,0.0793703
2.7400e-08,0.0885344,-1.79828,0.0785031
2.7800e-08,0.0885859,-1.79516,0.0775156
2.8200e-08,0.0885047,-1.79766,0.0766688
2.8600e-08,0.0885031,-1.79828,0.0763266
2.9000e-08,0.0884766,-1.79891,0.0766375
2.9400e-08,0.088475,-1.79922,0.0778297
2.9800e-08,0.0885109,-1.80063,0.0792547
3.0200e-08,0.0885219,-1.8,0.0802719
3.0600e-08,0.08855,-1.79266,0.080725
3.1000e-08,0.0884812,-1.79312,0.0807906
3.1400e-08,0.0884531,-1.80437,0.0807922
3.1800e-08,0.0885312,-1.79219,0.0808563
3.2200e-08,0.0885297,-1.79625,0.0804297
3.2600e-08,0.0885406,-1.79813,0.0788016
3.3000e-08,0.0884953,-1.79969,0.0754031
3.3400e-08,0.0884766,-1.79828,0.0707391
3.3800e-08,0.0883844,-1.79766,0.0662703
3.4200e-08,0.0883672,-1.79469,0.0627969
3.4600e-08,0.0883984,-1.8,0.0600594
3.5000e-08,0.0884906,-1.79578,0.0579281
3.5400e-08,0.0885469,-1.79422,0.0564063
3.5800e-08,0.0885281,-1.79453,0.0555922
3.6200e-08,0.0884922,-1.79672,0.0552391
3.6600e-08,0.0884297,-1.79484,0.0549281
3.7000e-08,0.0884312,-1.79438,0.054575
3.7400e-08,0.0885344,-1.79719,0.0544297
3.7800e-08,0.0886016,-1.80219,0.0543234
3.8200e-08,0.0887516,-1.79219,0.0542953
3.8600e-08,0.0887625,-1.79375,0.0541859
3.9000e-08,0.0886891,-1.79563,0.0541469
3.9400e-08,0.0884937,-1.79734,0.0541
