LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:55:47,0                 
Time,Ampl
-1.18394e-08,-0.836326
-1.17394e-08,-0.8364778
-1.16394e-08,-0.8365932
-1.15394e-08,-0.8366386
-1.14394e-08,-0.8365971
-1.13394e-08,-0.8365543
-1.12394e-08,-0.8364882
-1.11394e-08,-0.836409
-1.10394e-08,-0.8364103
-1.09394e-08,-0.8365193
-1.08394e-08,-0.8366451
-1.07394e-08,-0.8367087
-1.06394e-08,-0.8367217
-1.05394e-08,-0.8367593
-1.04394e-08,-0.8367813
-1.03394e-08,-0.8367035
-1.02394e-08,-0.8366373
-1.01394e-08,-0.8366101
-1.00394e-08,-0.8365621
-9.9394e-09,-0.836579
-9.8394e-09,-0.8366464
-9.7394e-09,-0.8366944
-9.6394e-09,-0.8366659
-9.5394e-09,-0.8365452
-9.4394e-09,-0.8364635
-9.3394e-09,-0.8365219
-9.2394e-09,-0.8365439
-9.1394e-09,-0.8364583
-9.0394e-09,-0.8364311
-8.9394e-09,-0.8364778
-8.8394e-09,-0.8365206
-8.7394e-09,-0.836627
-8.6394e-09,-0.8368254
-8.5394e-09,-0.8369461
-8.4394e-09,-0.836937
-8.3394e-09,-0.8368981
-8.2394e-09,-0.8368721
-8.1394e-09,-0.836819
-8.0394e-09,-0.8366996
-7.9394e-09,-0.8366244
-7.8394e-09,-0.8366879
-7.7394e-09,-0.8367982
-7.6394e-09,-0.8368644
-7.5394e-09,-0.8367969
-7.4394e-09,-0.836553
-7.3394e-09,-0.8363014
-7.2394e-09,-0.8361807
-7.1394e-09,-0.8361146
-7.0394e-09,-0.836099
-6.9394e-09,-0.8361911
-6.8394e-09,-0.8363532
-6.7394e-09,-0.8365349
-6.6394e-09,-0.8365842
-6.5394e-09,-0.8364856
-6.4394e-09,-0.8364415
-6.3394e-09,-0.8364791
-6.2394e-09,-0.8365621
-6.1394e-09,-0.8366594
-6.0394e-09,-0.8366633
-5.9394e-09,-0.8365984
-5.8394e-09,-0.8365465
-5.7394e-09,-0.8365258
-5.6394e-09,-0.8365699
-5.5394e-09,-0.8366062
-5.4394e-09,-0.8365349
-5.3394e-09,-0.8364726
-5.2394e-09,-0.8364869
-5.1394e-09,-0.8365167
-5.0394e-09,-0.8365336
-4.9394e-09,-0.8365829
-4.8394e-09,-0.8366581
-4.7394e-09,-0.8367009
-4.6394e-09,-0.8367126
-4.5394e-09,-0.83671
-4.4394e-09,-0.8367489
-4.3394e-09,-0.8368215
-4.2394e-09,-0.8368657
-4.1394e-09,-0.8368358
-4.0394e-09,-0.8367567
-3.9394e-09,-0.8367489
-3.8394e-09,-0.8367658
-3.7394e-09,-0.8367359
-3.6394e-09,-0.8367541
-3.5394e-09,-0.8367735
-3.4394e-09,-0.836697
-3.3394e-09,-0.8365906
-3.2394e-09,-0.8365323
-3.1394e-09,-0.836518
-3.0394e-09,-0.836566
-2.9394e-09,-0.8366931
-2.8394e-09,-0.8367761
-2.7394e-09,-0.8367152
-2.6394e-09,-0.8366036
-2.5394e-09,-0.8365375
-2.4394e-09,-0.836518
-2.3394e-09,-0.8365219
-2.2394e-09,-0.8365297
-2.1394e-09,-0.8365777
-2.0394e-09,-0.8367424
-1.9394e-09,-0.8369837
-1.8394e-09,-0.8371627
-1.7394e-09,-0.8371446
-1.6394e-09,-0.8369941
-1.5394e-09,-0.8368877
-1.4394e-09,-0.8368047
-1.3394e-09,-0.836771
-1.2394e-09,-0.8368125
-1.1394e-09,-0.8368086
-1.0394e-09,-0.8367061
-9.39398e-10,-0.836588
-8.39398e-10,-0.8365271
-7.39398e-10,-0.8365141
-6.39398e-10,-0.8364765
-5.39398e-10,-0.8364103
-4.39398e-10,-0.8364129
-3.39398e-10,-0.8365206
-2.39398e-10,-0.8366879
-1.39398e-10,-0.8367839
-3.93976e-11,-0.8367671
6.06024e-11,-0.8368151
1.60602e-10,-0.8369876
2.60602e-10,-0.8371459
3.60602e-10,-0.8371744
4.60602e-10,-0.8370654
5.60602e-10,-0.8369759
6.60602e-10,-0.8369811
7.60602e-10,-0.8369668
8.60602e-10,-0.8369552
9.60602e-10,-0.8370356
1.0606e-09,-0.8371005
1.1606e-09,-0.8370823
1.2606e-09,-0.8370071
1.3606e-09,-0.8368695
1.4606e-09,-0.8367878
1.5606e-09,-0.8368501
1.6606e-09,-0.8369188
1.7606e-09,-0.836867
1.8606e-09,-0.8367217
1.9606e-09,-0.8365829
2.0606e-09,-0.8365193
2.1606e-09,-0.8364661
2.2606e-09,-0.8363999
2.3606e-09,-0.8363208
2.4606e-09,-0.8362365
2.5606e-09,-0.8362378
2.6606e-09,-0.8363065
2.7606e-09,-0.836313
2.8606e-09,-0.8362572
2.9606e-09,-0.8362559
3.0606e-09,-0.8363584
3.1606e-09,-0.836435
3.2606e-09,-0.8363338
3.3606e-09,-0.8361937
3.4606e-09,-0.8362482
3.5606e-09,-0.8364129
3.6606e-09,-0.8364791
3.7606e-09,-0.836483
3.8606e-09,-0.8365556
3.9606e-09,-0.8366075
4.0606e-09,-0.8365842
4.1606e-09,-0.8365517
4.2606e-09,-0.836492
4.3606e-09,-0.8364103
4.4606e-09,-0.8363662
4.5606e-09,-0.8363558
4.6606e-09,-0.8364038
4.7606e-09,-0.8364843
4.8606e-09,-0.8364895
4.9606e-09,-0.8364272
5.0606e-09,-0.8363792
5.1606e-09,-0.836361
5.2606e-09,-0.8363597
5.3606e-09,-0.8363208
5.4606e-09,-0.8362482
5.5606e-09,-0.836291
5.6606e-09,-0.8364739
5.7606e-09,-0.8365997
5.8606e-09,-0.836601
5.9606e-09,-0.836566
6.0606e-09,-0.8364972
6.1606e-09,-0.8364544
6.2606e-09,-0.8365297
6.3606e-09,-0.8365971
6.4606e-09,-0.83654
6.5606e-09,-0.8364765
6.6606e-09,-0.8365336
6.7606e-09,-0.8365932
6.8606e-09,-0.836579
6.9606e-09,-0.8365958
7.0606e-09,-0.8366568
7.1606e-09,-0.8366957
7.2606e-09,-0.8367528
7.3606e-09,-0.8367852
7.4606e-09,-0.8366633
7.5606e-09,-0.8364752
7.6606e-09,-0.8363675
7.7606e-09,-0.836339
7.8606e-09,-0.8363468
7.9606e-09,-0.8363597
8.0606e-09,-0.8364116
8.1606e-09,-0.8365336
8.2606e-09,-0.8366542
8.3606e-09,-0.8367126
8.4606e-09,-0.836723
8.5606e-09,-0.8367139
8.6606e-09,-0.8367061
8.7606e-09,-0.8366568
8.8606e-09,-0.8365803
8.9606e-09,-0.836579
9.0606e-09,-0.8366425
9.1606e-09,-0.8367333
9.2606e-09,-0.8368293
9.3606e-09,-0.8368306
9.4606e-09,-0.8367632
9.5606e-09,-0.8366685
9.6606e-09,-0.8365284
9.7606e-09,-0.8364064
9.8606e-09,-0.8363973
9.9606e-09,-0.8364661
1.00606e-08,-0.8364778
1.01606e-08,-0.836422
1.02606e-08,-0.8364233
1.03606e-08,-0.8364817
1.04606e-08,-0.8365258
1.05606e-08,-0.8365426
1.06606e-08,-0.8365439
1.07606e-08,-0.8365387
1.08606e-08,-0.836492
1.09606e-08,-0.8363701
1.10606e-08,-0.8362495
1.11606e-08,-0.8362793
1.12606e-08,-0.8364207
1.13606e-08,-0.8365193
1.14606e-08,-0.8366412
1.15606e-08,-0.8368371
1.16606e-08,-0.8370382
1.17606e-08,-0.8371783
1.18606e-08,-0.8371848
1.19606e-08,-0.8371082
1.20606e-08,-0.8370058
1.21606e-08,-0.8368177
1.22606e-08,-0.8366192
1.23606e-08,-0.8365193
1.24606e-08,-0.8365439
1.25606e-08,-0.8366321
1.26606e-08,-0.8366477
1.27606e-08,-0.8365919
1.28606e-08,-0.8365465
1.29606e-08,-0.8365699
1.30606e-08,-0.8366023
1.31606e-08,-0.8365323
1.32606e-08,-0.8364272
1.33606e-08,-0.8363675
1.34606e-08,-0.8363948
1.35606e-08,-0.8365193
1.36606e-08,-0.836649
1.37606e-08,-0.8367113
1.38606e-08,-0.8368112
1.39606e-08,-0.8369539
1.40606e-08,-0.8369928
1.41606e-08,-0.836937
1.42606e-08,-0.8368864
1.43606e-08,-0.8368631
1.44606e-08,-0.8368151
1.45606e-08,-0.8367424
1.46606e-08,-0.836745
1.47606e-08,-0.8367658
1.48606e-08,-0.836649
1.49606e-08,-0.83647
1.50606e-08,-0.8364103
1.51606e-08,-0.8365024
1.52606e-08,-0.836588
1.53606e-08,-0.8365829
1.54606e-08,-0.8365997
1.55606e-08,-0.836614
1.56606e-08,-0.8365323
1.57606e-08,-0.8363805
1.58606e-08,-0.8362897
1.59606e-08,-0.8363494
1.60606e-08,-0.8364194
1.61606e-08,-0.8363675
1.62606e-08,-0.8362235
1.63606e-08,-0.8361716
1.64606e-08,-0.8362611
1.65606e-08,-0.8362975
1.66606e-08,-0.8363455
1.67606e-08,-0.8365024
1.68606e-08,-0.8366049
1.69606e-08,-0.8365971
1.70606e-08,-0.8365621
1.71606e-08,-0.8365387
1.72606e-08,-0.8366192
1.73606e-08,-0.836771
1.74606e-08,-0.8368202
1.75606e-08,-0.836771
1.76606e-08,-0.8367645
1.77606e-08,-0.8367723
1.78606e-08,-0.8367385
1.79606e-08,-0.8367528
1.80606e-08,-0.8367735
1.81606e-08,-0.836697
1.82606e-08,-0.8365906
1.83606e-08,-0.8365751
1.84606e-08,-0.8366814
1.85606e-08,-0.8368073
1.86606e-08,-0.8368293
1.87606e-08,-0.8367684
1.88606e-08,-0.8367165
1.89606e-08,-0.8366931
1.90606e-08,-0.8367359
1.91606e-08,-0.8368164
1.92606e-08,-0.8368657
1.93606e-08,-0.8368799
1.94606e-08,-0.8368773
1.95606e-08,-0.8369149
1.96606e-08,-0.8370317
1.97606e-08,-0.837151
1.98606e-08,-0.8372107
1.99606e-08,-0.837308
2.00606e-08,-0.8374961
2.01606e-08,-0.8376544
2.02606e-08,-0.8377646
2.03606e-08,-0.8378918
2.04606e-08,-0.8380877
2.05606e-08,-0.8383302
2.06606e-08,-0.8385456
2.07606e-08,-0.8388141
2.08606e-08,-0.8392201
2.09606e-08,-0.8396664
2.10606e-08,-0.8400659
2.11606e-08,-0.8404162
2.12606e-08,-0.8407885
2.13606e-08,-0.8411894
2.14606e-08,-0.8415176
2.15606e-08,-0.8418289
2.16606e-08,-0.8421908
2.17606e-08,-0.8425061
2.18606e-08,-0.8427733
2.19606e-08,-0.8431495
2.20606e-08,-0.8437073
2.21606e-08,-0.844282
2.22606e-08,-0.8447788
2.23606e-08,-0.845299
2.24606e-08,-0.845814
2.25606e-08,-0.8461876
2.26606e-08,-0.8465016
2.27606e-08,-0.84694
2.28606e-08,-0.8475303
2.29606e-08,-0.848114
2.30606e-08,-0.848607
2.31606e-08,-0.8492089
2.32606e-08,-0.8499613
2.33606e-08,-0.8506203
2.34606e-08,-0.8510834
2.35606e-08,-0.8515115
2.36606e-08,-0.8521407
2.37606e-08,-0.8528438
2.38606e-08,-0.8533276
2.39606e-08,-0.853805
2.40606e-08,-0.8545081
2.41606e-08,-0.8551645
2.42606e-08,-0.8555939
2.43606e-08,-0.8560428
2.44606e-08,-0.8566097
2.45606e-08,-0.8571272
2.46606e-08,-0.8576215
2.47606e-08,-0.858156
2.48606e-08,-0.8586385
2.49606e-08,-0.8589823
2.50606e-08,-0.8592392
2.51606e-08,-0.8595998
2.52606e-08,-0.8600603
2.53606e-08,-0.8604365
2.54606e-08,-0.8607232
2.55606e-08,-0.8610955
2.56606e-08,-0.8616455
2.57606e-08,-0.8621722
2.58606e-08,-0.8624602
2.59606e-08,-0.8627067
2.60606e-08,-0.8632048
2.61606e-08,-0.8637263
2.62606e-08,-0.864026
2.63606e-08,-0.8643243
2.64606e-08,-0.8647291
2.65606e-08,-0.8651221
2.66606e-08,-0.8655243
2.67606e-08,-0.8658927
2.68606e-08,-0.8662339
2.69606e-08,-0.8666036
2.70606e-08,-0.8669188
2.71606e-08,-0.8671861
2.72606e-08,-0.8674727
2.73606e-08,-0.8677011
2.74606e-08,-0.8677932
2.75606e-08,-0.8679748
2.76606e-08,-0.8683899
2.77606e-08,-0.8687817
2.78606e-08,-0.8690035
2.79606e-08,-0.8692824
