LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:56:06,0                 
Time,Ampl
-1.18616e-08,-0.8355269
-1.17616e-08,-0.8355697
-1.16616e-08,-0.8354789
-1.15616e-08,-0.8354854
-1.14616e-08,-0.8356021
-1.13616e-08,-0.8356878
-1.12616e-08,-0.8357215
-1.11616e-08,-0.8357656
-1.10616e-08,-0.8358772
-1.09616e-08,-0.8359472
-1.08616e-08,-0.8359277
-1.07616e-08,-0.8359368
-1.06616e-08,-0.8359926
-1.05616e-08,-0.8359874
-1.04616e-08,-0.8358382
-1.03616e-08,-0.8356398
-1.02616e-08,-0.8356203
-1.01616e-08,-0.8357448
-1.00616e-08,-0.8358447
-9.96163e-09,-0.8358421
-9.86163e-09,-0.8356813
-9.76163e-09,-0.835475
-9.66163e-09,-0.8353634
-9.56163e-09,-0.8353375
-9.46163e-09,-0.8353492
-9.36163e-09,-0.8353193
-9.26163e-09,-0.8352519
-9.16163e-09,-0.835296
-9.06163e-09,-0.8353907
-8.96163e-09,-0.8353193
-8.86163e-09,-0.8351974
-8.76163e-09,-0.8352117
-8.66163e-09,-0.8352999
-8.56163e-09,-0.835318
-8.46163e-09,-0.835309
-8.36163e-09,-0.835427
-8.26163e-09,-0.8355619
-8.16163e-09,-0.8355425
-8.06163e-09,-0.8354491
-7.96163e-09,-0.835427
-7.86163e-09,-0.8355243
-7.76163e-09,-0.8356008
-7.66163e-09,-0.8355464
-7.56163e-09,-0.83544
-7.46163e-09,-0.8353751
-7.36163e-09,-0.8353116
-7.26163e-09,-0.8352389
-7.16163e-09,-0.8352454
-7.06163e-09,-0.8353142
-6.96163e-09,-0.8353193
-6.86163e-09,-0.835261
-6.76163e-09,-0.8352597
-6.66163e-09,-0.8353193
-6.56163e-09,-0.8353622
-6.46163e-09,-0.8353803
-6.36163e-09,-0.8353375
-6.26163e-09,-0.8352571
-6.16163e-09,-0.8352078
-6.06163e-09,-0.8351935
-5.96163e-09,-0.8352843
-5.86163e-09,-0.8354426
-5.76163e-09,-0.8354491
-5.66163e-09,-0.8353232
-5.56163e-09,-0.8352713
-5.46163e-09,-0.8353103
-5.36163e-09,-0.8353103
-5.26163e-09,-0.8352558
-5.16163e-09,-0.8352584
