Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
4.1600e-08,0.0530656,0.0395078,0.458906
4.2000e-08,0.0531656,0.0395391,0.459063
4.2400e-08,0.0531563,0.0395313,0.458781
4.2800e-08,0.053175,0.0395469,0.458391
4.3200e-08,0.0530688,0.0394844,0.457813
4.3600e-08,0.0531531,0.0395344,0.457844
4.4000e-08,0.0532313,0.0395203,0.457266
4.4400e-08,0.0546844,0.0396203,0.457562
4.4800e-08,0.0595156,0.0399906,0.456672
4.5200e-08,0.0716844,0.0412078,0.456906
4.5600e-08,0.09325,0.0439484,0.456109
4.6000e-08,0.122078,0.0489391,0.456078
4.6400e-08,0.151791,0.0562719,0.455969
4.6800e-08,0.174978,0.0653438,0.455844
4.7200e-08,0.1869,0.0749313,0.455703
4.7600e-08,0.186925,0.0830953,0.455516
4.8000e-08,0.179481,0.0885656,0.455094
4.8400e-08,0.170753,0.0909328,0.454844
4.8800e-08,0.164856,0.0904516,0.454391
4.9200e-08,0.162906,0.0882141,0.453734
4.9600e-08,0.163531,0.0855328,0.423563
5.0000e-08,0.164406,0.0832672,0.302953
5.0400e-08,0.163566,0.0816703,0.137062
5.0800e-08,0.161169,0.0806047,0.0288281
5.1200e-08,0.158209,0.0795203,-0.0141406
5.1600e-08,0.156578,0.0782375,-0.0305313
5.2000e-08,0.157366,0.0768734,-0.0381094
5.2400e-08,0.159984,0.0756969,-0.0420625
5.2800e-08,0.163294,0.0751328,-0.0428437
5.3200e-08,0.165825,0.0754422,-0.041
5.3600e-08,0.166513,0.0763234,-0.0392813
5.4000e-08,0.165256,0.0773297,-0.0394375
5.4400e-08,0.163059,0.0780406,-0.0399531
5.4800e-08,0.161394,0.0783797,-0.0406563
5.5200e-08,0.160781,0.0780516,-0.0418125
5.5600e-08,0.161425,0.0774906,-0.0427187
5.6000e-08,0.162706,0.0769813,-0.0436563
5.6400e-08,0.163819,0.0767641,-0.0435938
5.6800e-08,0.163925,0.0768594,-0.0439844
5.7200e-08,0.163397,0.0772922,-0.0440312
5.7600e-08,0.162228,0.0776188,-0.0442031
5.8000e-08,0.161484,0.0777328,-0.0441406
5.8400e-08,0.161275,0.0775219,-0.0444219
5.8800e-08,0.161756,0.0770844,-0.0447344
5.9200e-08,0.162503,0.0767266,-0.047
5.9600e-08,0.163116,0.0765797,-0.0479844
6.0000e-08,0.16325,0.0766953,-0.0455312
6.0400e-08,0.1629,0.0769719,-0.0397656
6.0800e-08,0.162303,0.0772578,-0.0363594
6.1200e-08,0.161788,0.0774188,-0.0387031
6.1600e-08,0.161388,0.0773719,-0.0419844
6.2000e-08,0.161438,0.0772063,-0.0438281
6.2400e-08,0.161597,0.0768687,-0.0446563
6.2800e-08,0.161794,0.0767047,-0.0446563
6.3200e-08,0.161797,0.0765891,-0.0449063
6.3600e-08,0.16165,0.0766328,-0.0441719
6.4000e-08,0.161444,0.0767547,-0.0449531
6.4400e-08,0.161381,0.0769313,-0.0449375
6.4800e-08,0.161413,0.0769797,-0.0440938
6.5200e-08,0.161409,0.0768938,-0.043875
6.5600e-08,0.161528,0.0767328,-0.0442813
6.6000e-08,0.161578,0.0765984,-0.0456719
6.6400e-08,0.161541,0.0765688,-0.0453437
6.6800e-08,0.161459,0.0766359,-0.0436406
6.7200e-08,0.161144,0.0766656,-0.0429531
6.7600e-08,0.161009,0.0767562,-0.0426875
6.8000e-08,0.160819,0.0767813,-0.0432656
6.8400e-08,0.160691,0.0766813,-0.0432969
6.8800e-08,0.160694,0.0765469,-0.0437656
6.9200e-08,0.160706,0.0764422,-0.0434844
6.9600e-08,0.160541,0.0762656,-0.0436406
7.0000e-08,0.160563,0.0762609,-0.0433594
7.0400e-08,0.160403,0.0762984,-0.0432969
7.0800e-08,0.160256,0.0763422,-0.0430469
7.1200e-08,0.160081,0.0763359,-0.0433906
7.1600e-08,0.160013,0.0763734,-0.0433125
7.2000e-08,0.159988,0.0762797,-0.0430312
7.2400e-08,0.159978,0.0762016,-0.0429375
7.2800e-08,0.159963,0.0761844,-0.0429531
7.3200e-08,0.159853,0.0761016,-0.0432969
7.3600e-08,0.1597,0.0760969,-0.0432031
7.4000e-08,0.159728,0.0761375,-0.0426406
7.4400e-08,0.159534,0.0760672,-0.0425938
7.4800e-08,0.159394,0.0760531,-0.0427813
7.5200e-08,0.159313,0.076,-0.0428906
7.5600e-08,0.159222,0.0759375,-0.0425781
7.6000e-08,0.159153,0.075875,-0.0424844
7.6400e-08,0.159184,0.0758672,-0.0422344
7.6800e-08,0.158981,0.0757703,-0.0424844
7.7200e-08,0.158838,0.0757656,-0.0424844
7.7600e-08,0.158794,0.0757813,-0.0420781
7.8000e-08,0.158659,0.0757391,-0.0422344
7.8400e-08,0.158516,0.0757078,-0.0424531
7.8800e-08,0.1585,0.0757063,-0.0419531
7.9200e-08,0.158394,0.0755781,-0.0420156
7.9600e-08,0.158322,0.0755391,-0.0422187
8.0000e-08,0.158122,0.0755125,-0.0424531
8.0400e-08,0.158128,0.0755203,-0.0416563
8.0800e-08,0.157994,0.0755047,-0.0417656
8.1200e-08,0.157925,0.0755141,-0.0417187
8.1600e-08,0.157794,0.0754281,-0.0418906
8.2000e-08,0.157728,0.0754563,-0.0414688
8.2400e-08,0.157641,0.0753766,-0.0418437
8.2800e-08,0.157594,0.0753406,-0.0416406
8.3200e-08,0.157431,0.0752859,-0.0417656
8.3600e-08,0.157403,0.0752562,-0.0413906
8.4000e-08,0.157241,0.0751859,-0.041875
8.4400e-08,0.157194,0.0752047,-0.0414844
8.4800e-08,0.157134,0.0751891,-0.0417656
8.5200e-08,0.157088,0.0751375,-0.0417344
8.5600e-08,0.156984,0.0750734,-0.0410781
8.6000e-08,0.156834,0.0750563,-0.0414219
8.6400e-08,0.156722,0.0750141,-0.0412187
8.6800e-08,0.156659,0.0749953,-0.0409063
8.7200e-08,0.156497,0.0749656,-0.0414375
8.7600e-08,0.156388,0.0749016,-0.0416875
8.8000e-08,0.156269,0.0748297,-0.0415469
8.8400e-08,0.156209,0.0748688,-0.0410938
8.8800e-08,0.156138,0.0747969,-0.0412813
8.9200e-08,0.156103,0.0747813,-0.0408594
8.9600e-08,0.156025,0.0747625,-0.0412969
9.0000e-08,0.155994,0.0747391,-0.0411875
9.0400e-08,0.155881,0.0747063,-0.0407344
9.0800e-08,0.155763,0.0747,-0.041
9.1200e-08,0.155584,0.0746391,-0.0412656
9.1600e-08,0.155484,0.0746188,-0.041
9.2000e-08,0.155425,0.0745953,-0.0411563
9.2400e-08,0.155369,0.0745297,-0.0410625
9.2800e-08,0.155278,0.0744422,-0.0415938
9.3200e-08,0.155219,0.0745125,-0.0405469
9.3600e-08,0.155103,0.074425,-0.0409375
9.4000e-08,0.154728,0.0743703,-0.041

