Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
4.1600e-08,0.053025,0.0395047,0.458813
4.2000e-08,0.0531406,0.0395406,0.459047
4.2400e-08,0.0531688,0.0395219,0.458734
4.2800e-08,0.0532125,0.0395359,0.458187
4.3200e-08,0.0531031,0.0395094,0.457625
4.3600e-08,0.0531469,0.0395578,0.457672
4.4000e-08,0.0531938,0.0395016,0.457016
4.4400e-08,0.0543125,0.0396094,0.457313
4.4800e-08,0.0585313,0.0398797,0.456578
4.5200e-08,0.0697281,0.0409438,0.456281
4.5600e-08,0.0904063,0.0435203,0.456234
4.6000e-08,0.119403,0.0482719,0.456109
4.6400e-08,0.150572,0.0554703,0.456031
4.6800e-08,0.176163,0.0647078,0.455891
4.7200e-08,0.190013,0.0746219,0.455562
4.7600e-08,0.190594,0.0832875,0.455437
4.8000e-08,0.182166,0.0892094,0.455203
4.8400e-08,0.171369,0.0918328,0.454594
4.8800e-08,0.163859,0.0912578,0.4545
4.9200e-08,0.161556,0.0887906,0.452797
4.9600e-08,0.162697,0.0857531,0.420281
5.0000e-08,0.164319,0.0831469,0.296156
5.0400e-08,0.163988,0.0814672,0.131141
5.0800e-08,0.161494,0.0803906,0.0260937
5.1200e-08,0.158178,0.0793922,-0.0152188
5.1600e-08,0.156091,0.0782188,-0.0308594
5.2000e-08,0.156606,0.0769078,-0.0387344
5.2400e-08,0.1593,0.0756547,-0.0423437
5.2800e-08,0.162934,0.0750094,-0.0429688
5.3200e-08,0.165841,0.0751938,-0.0410625
5.3600e-08,0.166669,0.0760328,-0.0395156
5.4000e-08,0.165506,0.0771563,-0.0399531
5.4400e-08,0.163125,0.078,-0.0402031
5.4800e-08,0.161059,0.0783734,-0.0408125
5.5200e-08,0.160213,0.0780813,-0.0418906
5.5600e-08,0.160938,0.0774703,-0.0428594
5.6000e-08,0.162366,0.0768406,-0.0436563
5.6400e-08,0.163659,0.0766141,-0.04375
5.6800e-08,0.163881,0.0767266,-0.0441719
5.7200e-08,0.1632,0.0771406,-0.0439375
5.7600e-08,0.162025,0.0774875,-0.0442344
5.8000e-08,0.161188,0.0776703,-0.0444219
5.8400e-08,0.160903,0.0774578,-0.0444531
5.8800e-08,0.161416,0.07705,-0.0449688
5.9200e-08,0.1622,0.076675,-0.0472813
5.9600e-08,0.162803,0.0763719,-0.0481875
6.0000e-08,0.163072,0.0765313,-0.0456719
6.0400e-08,0.162609,0.0767844,-0.0394375
6.0800e-08,0.161922,0.0770875,-0.0363906
6.1200e-08,0.161447,0.0773438,-0.0388125
6.1600e-08,0.161163,0.0772828,-0.0421875
6.2000e-08,0.161153,0.0770938,-0.0436719
6.2400e-08,0.161244,0.0767891,-0.0440312
6.2800e-08,0.161525,0.076575,-0.0444375
6.3200e-08,0.161472,0.0764531,-0.0448281
6.3600e-08,0.161431,0.0765281,-0.0441406
6.4000e-08,0.161156,0.0766422,-0.045
