Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-5.6000e-09,0.0531188,0.0394703,-0.00775
-5.2000e-09,0.0531219,0.0394719,-0.00795313
-4.8000e-09,0.0530688,0.0394359,-0.00760938
-4.4000e-09,0.0531,0.0394875,-0.00770313
-4.0000e-09,0.0531844,0.0395188,-0.007625
-3.6000e-09,0.0531531,0.0394578,-0.007375
-3.2000e-09,0.0530469,0.0394594,-0.00782813
-2.8000e-09,0.053325,0.0395281,-0.00740625
-2.4000e-09,0.0531688,0.0395281,-0.00751562
-2.0000e-09,0.0531594,0.0395109,-0.00778125
-1.6000e-09,0.05305,0.0394766,-0.00785938
-1.2000e-09,0.0531313,0.0395109,-0.00785938
-8.0000e-10,0.0531688,0.0395313,-0.00767188
-4.0000e-10,0.0532406,0.0395297,0.0129062
0.0000e+00,0.0531063,0.0394781,0.118781
4.0000e-10,0.0531219,0.0394813,0.288016
8.0000e-10,0.0531875,0.0394922,0.409562
1.2000e-09,0.0531313,0.039475,0.456531
1.6000e-09,0.0530344,0.0394844,0.469875
2.0000e-09,0.053175,0.0395422,0.478891
2.4000e-09,0.0530938,0.0395109,0.483672
2.8000e-09,0.0531313,0.0394984,0.483703
3.2000e-09,0.0530875,0.0394938,0.481234
3.6000e-09,0.0532031,0.0394641,0.480484
4.0000e-09,0.0531281,0.0394625,0.479719
4.4000e-09,0.0531938,0.0394906,0.480203
4.8000e-09,0.0530906,0.0394875,0.48125
5.2000e-09,0.0531188,0.0395062,0.481797
5.6000e-09,0.0531406,0.0394641,0.481812
6.0000e-09,0.0532313,0.0394813,0.48275
6.4000e-09,0.0531313,0.0394437,0.483016
6.8000e-09,0.0532156,0.0394859,0.483344
7.2000e-09,0.0531563,0.0394234,0.483563
7.6000e-09,0.0531813,0.0394422,0.4835
8.0000e-09,0.0530438,0.0394625,0.483125
8.4000e-09,0.0531094,0.0394281,0.483094
8.8000e-09,0.0531688,0.0394625,0.483688
9.2000e-09,0.0530875,0.0394484,0.484578
9.6000e-09,0.0529375,0.0394172,0.487344
1.0000e-08,0.0531875,0.0394734,0.488797
1.0400e-08,0.0531438,0.0394938,0.482703
1.0800e-08,0.0531469,0.0394344,0.4765
1.1200e-08,0.0530688,0.0394594,0.476203
1.1600e-08,0.0531188,0.0395078,0.478594
1.2000e-08,0.0531125,0.0394734,0.479953
1.2400e-08,0.0532,0.0394906,0.480391
1.2800e-08,0.0530719,0.0395062,0.480344
1.3200e-08,0.0531125,0.0395078,0.480281
1.3600e-08,0.053175,0.0395266,0.479922
1.4000e-08,0.0531844,0.0395328,0.48
1.4400e-08,0.053075,0.0394625,0.480062
1.4800e-08,0.0531813,0.0395062,0.479469
1.5200e-08,0.0531,0.0395188,0.478359
1.5600e-08,0.0531094,0.0394938,0.478516
