Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-08,
Horizontal Delay,5.56e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,48.7400% to 51.2500%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,-0.26,
,,
,,
,,
Label,,
TIME,CH3,CH4
7.2800e-08,0.0014,0.03
7.3200e-08,0.0014,0.0308
7.3600e-08,0.0014,0.0316
7.4000e-08,0.0014,0.0316
7.4400e-08,0.001,0.0308
7.4800e-08,0.0014,0.03
7.5200e-08,0.001,0.0296
7.5600e-08,0.0006,0.0284
7.6000e-08,-0.0002,0.0276
7.6400e-08,0.0002,0.0276
7.6800e-08,0.0002,0.0276
7.7200e-08,0.0002,0.0288
7.7600e-08,0.001,0.0296
7.8000e-08,0.0014,0.0304
7.8400e-08,0.0014,0.0316
7.8800e-08,0.001,0.032
7.9200e-08,0.001,0.0304
7.9600e-08,0.0014,0.03
8.0000e-08,0.0014,0.0292
8.0400e-08,0.001,0.0288
8.0800e-08,0.001,0.0272
8.1200e-08,0.0014,0.0232
8.1600e-08,0.001,0.02
8.2000e-08,0.001,0.018
8.2400e-08,0.001,0.0176
8.2800e-08,0.001,0.018
8.3200e-08,0.0006,0.0164
8.3600e-08,0.0006,0.0124
8.4000e-08,0.0014,0.0088
8.4400e-08,0.0014,0.0056
8.4800e-08,0.001,0.0056
8.5200e-08,0.001,0.0064
8.5600e-08,0.0006,0.008
8.6000e-08,0.0002,0.0096
8.6400e-08,0.0002,0.0084
8.6800e-08,0.0006,0.008
8.7200e-08,0.0014,0.0064
8.7600e-08,0.001,0.0048
8.8000e-08,0.0006,0.0032
8.8400e-08,-0.0002,0.0016
8.8800e-08,0.0002,0.0004
8.9200e-08,0.0006,0.0004
8.9600e-08,0.0002,0.002
9.0000e-08,0.001,0.004
9.0400e-08,0.0002,0.0048
9.0800e-08,0.0002,0.0044
9.1200e-08,0.0002,0.0036
9.1600e-08,0.0006,0.0024
9.2000e-08,0.0006,0.0024
9.2400e-08,0.001,0.0028
9.2800e-08,0.001,0.0036
9.3200e-08,0.001,0.0032
9.3600e-08,0.0002,0.0028
9.4000e-08,0.0006,0.002
9.4400e-08,0.0002,0.002
9.4800e-08,-0.0006,0.002
9.5200e-08,-0.0014,0.002
9.5600e-08,-0.001,0.0004
9.6000e-08,-0.0014,-0.0012
9.6400e-08,-0.0014,-0.0016
9.6800e-08,-0.0014,-0.0004
9.7200e-08,-0.0018,0.0012
9.7600e-08,-0.0018,0.002
9.8000e-08,-0.0018,0.0024
9.8400e-08,-0.0018,0.002
9.8800e-08,-0.001,0.0008
9.9200e-08,-0.0002,0
9.9600e-08,0.0006,-0.0004
1.0000e-07,0.0002,0
1.0040e-07,0.0002,0.0004
1.0080e-07,0.0002,0.0008
1.0120e-07,0.001,0.0004
1.0160e-07,0.001,0.0008
1.0200e-07,0.0014,0.0008
1.0240e-07,0.0014,0.0008
1.0280e-07,0.001,0
1.0320e-07,0.0002,-0.0008
1.0360e-07,0.0002,-0.0008
1.0400e-07,-0.0002,0
1.0440e-07,-0.0002,0.0004
1.0480e-07,0.0002,0.0008
1.0520e-07,0.0002,0.0004

