Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Horizontal Delay,6.25e+08
Sample Interval,125000
Record Length,10000
Gating,0.0% to 98.8900%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Vertical Position,3
,
,
,
Label,
FREQUENCY,"MATH<FFT(CH1, HANNING, LOGRMS)>"
0.0000e+00,-20.9375
1.2500e+05,-22.4438
2.5000e+05,-23.9469
3.7500e+05,-66.6312
5.0000e+05,-109.312
6.2500e+05,-113.056
7.5000e+05,-116.797
8.7500e+05,-121.591
1.0000e+06,-126.384
1.1250e+06,-121.109
1.2500e+06,-115.834
1.3750e+06,-122.013
1.5000e+06,-128.188
1.6250e+06,-127.325
1.7500e+06,-126.459
1.8750e+06,-124.138
2.0000e+06,-121.812
2.1250e+06,-120.363
2.2500e+06,-118.912
2.3750e+06,-121.263
2.5000e+06,-123.609
2.6250e+06,-124.331
2.7500e+06,-125.053
2.8750e+06,-130.869
3.0000e+06,-136.684
3.1250e+06,-133.734
3.2500e+06,-130.784
3.3750e+06,-135.338
3.5000e+06,-139.887
3.6250e+06,-136.703
3.7500e+06,-133.516
3.8750e+06,-131.522
4.0000e+06,-129.525
4.1250e+06,-129.694
4.2500e+06,-129.859
4.3750e+06,-131.1
4.5000e+06,-132.341
4.6250e+06,-128.553
4.7500e+06,-124.766
4.8750e+06,-124.156
5.0000e+06,-123.547
5.1250e+06,-122.013
5.2500e+06,-120.475
5.3750e+06,-119.691
5.5000e+06,-118.906
5.6250e+06,-121.594
5.7500e+06,-124.278
5.8750e+06,-131.044
6.0000e+06,-137.806
6.1250e+06,-132.722
6.2500e+06,-127.638
6.3750e+06,-125.391
6.5000e+06,-123.144
6.6250e+06,-122.816
6.7500e+06,-122.488
6.8750e+06,-122.272
7.0000e+06,-122.053
7.1250e+06,-120.9
7.2500e+06,-119.744
7.3750e+06,-119.519
7.5000e+06,-119.291
7.6250e+06,-122.444
7.7500e+06,-125.597
7.8750e+06,-122.753
8.0000e+06,-119.906
8.1250e+06,-122.334
8.2500e+06,-124.759
8.3750e+06,-124.619
8.5000e+06,-124.475
8.6250e+06,-123.675
8.7500e+06,-122.872
8.8750e+06,-126.259
9.0000e+06,-129.647
9.1250e+06,-134.928
9.2500e+06,-140.209
9.3750e+06,-132.572
9.5000e+06,-124.934
9.6250e+06,-125.481
9.7500e+06,-126.028
9.8750e+06,-125.459
1.0000e+07,-124.888
1.0125e+07,-124.556
1.0250e+07,-124.222
1.0375e+07,-125.181
1.0500e+07,-126.138
1.0625e+07,-128.6
1.0750e+07,-131.059
1.0875e+07,-129.575
1.1000e+07,-128.088
1.1125e+07,-125.55
