Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Horizontal Delay,6.25e+08
Sample Interval,125000
Record Length,10000
Gating,0.0% to 98.8900%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Vertical Position,3
,
,
,
Label,
FREQUENCY,"MATH<FFT(CH1, HANNING, LOGRMS)>"
0.0000e+00,-20.8625
1.2500e+05,-22.3687
2.5000e+05,-23.8719
3.7500e+05,-66.9
5.0000e+05,-109.925
6.2500e+05,-110.381
7.5000e+05,-110.838
8.7500e+05,-115.034
1.0000e+06,-119.228
1.1250e+06,-117.303
1.2500e+06,-115.378
1.3750e+06,-120.244
1.5000e+06,-125.106
1.6250e+06,-124.716
1.7500e+06,-124.325
1.8750e+06,-130.094
2.0000e+06,-135.859
2.1250e+06,-128.525
2.2500e+06,-121.191
2.3750e+06,-121.247
2.5000e+06,-121.3
2.6250e+06,-119.45
2.7500e+06,-117.6
2.8750e+06,-119.866
3.0000e+06,-122.128
3.1250e+06,-123.028
3.2500e+06,-123.925
3.3750e+06,-125.638
3.5000e+06,-127.347
3.6250e+06,-124.622
3.7500e+06,-121.897
3.8750e+06,-121.428
4.0000e+06,-120.959
4.1250e+06,-120.634
4.2500e+06,-120.309
4.3750e+06,-120.719
4.5000e+06,-121.128
4.6250e+06,-121.147
4.7500e+06,-121.166
4.8750e+06,-120.297
5.0000e+06,-119.428
5.1250e+06,-118.991
5.2500e+06,-118.553
5.3750e+06,-117.722
5.5000e+06,-116.891
5.6250e+06,-117.353
5.7500e+06,-117.812
5.8750e+06,-120.322
6.0000e+06,-122.828
6.1250e+06,-124.588
6.2500e+06,-126.347
6.3750e+06,-124.353
6.5000e+06,-122.359
6.6250e+06,-121.447
6.7500e+06,-120.531
6.8750e+06,-121.203
7.0000e+06,-121.875
7.1250e+06,-123.231
7.2500e+06,-124.588
7.3750e+06,-130.994
7.5000e+06,-137.397
7.6250e+06,-134.006
7.7500e+06,-130.616
7.8750e+06,-135.922
8.0000e+06,-141.225
8.1250e+06,-132.038
8.2500e+06,-122.85
8.3750e+06,-123.184
8.5000e+06,-123.516
8.6250e+06,-122.625
8.7500e+06,-121.731
8.8750e+06,-121.438
9.0000e+06,-121.141
9.1250e+06,-122.216
9.2500e+06,-123.291
9.3750e+06,-121.447
9.5000e+06,-119.6
9.6250e+06,-119.884
9.7500e+06,-120.169
9.8750e+06,-121.397
1.0000e+07,-122.625
1.0125e+07,-120.828
1.0250e+07,-119.031
1.0375e+07,-118.009
1.0500e+07,-116.984
1.0625e+07,-119.034
1.0750e+07,-121.081
1.0875e+07,-122.169
1.1000e+07,-123.253
1.1125e+07,-121.075
