Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Horizontal Delay,6.25e+08
Sample Interval,125000
Record Length,10000
Gating,0.0% to 98.8900%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Vertical Position,3
,
,
,
Label,
FREQUENCY,"MATH<FFT(CH1, HANNING, LOGRMS)>"
2.8625e+07,-124.031
2.8750e+07,-125.503
2.8875e+07,-123.103
2.9000e+07,-120.703
2.9125e+07,-120.75
2.9250e+07,-120.794
2.9375e+07,-120.453
2.9500e+07,-120.109
2.9625e+07,-120.013
2.9750e+07,-119.916
2.9875e+07,-121.828
3.0000e+07,-123.741
3.0125e+07,-124.831
3.0250e+07,-125.922
3.0375e+07,-123.525
3.0500e+07,-121.125
3.0625e+07,-121.516
3.0750e+07,-121.903
3.0875e+07,-122.472
3.1000e+07,-123.041
3.1125e+07,-122.669
3.1250e+07,-122.297
3.1375e+07,-121.591
3.1500e+07,-120.881
3.1625e+07,-120.666
3.1750e+07,-120.45
3.1875e+07,-120.659
3.2000e+07,-120.869
3.2125e+07,-119.869
3.2250e+07,-118.869
3.2375e+07,-119.766
3.2500e+07,-120.659
3.2625e+07,-123.578
3.2750e+07,-126.497
3.2875e+07,-124.809
3.3000e+07,-123.122
3.3125e+07,-120.822
3.3250e+07,-118.519
3.3375e+07,-117.731
3.3500e+07,-116.944
3.3625e+07,-119.616
3.3750e+07,-122.287
3.3875e+07,-122.722
3.4000e+07,-123.153
3.4125e+07,-120.453
3.4250e+07,-117.753
3.4375e+07,-117.425
3.4500e+07,-117.094
3.4625e+07,-117.744
3.4750e+07,-118.391
3.4875e+07,-119.072
3.5000e+07,-119.753
3.5125e+07,-119.422
3.5250e+07,-119.088
3.5375e+07,-119.119
3.5500e+07,-119.15
3.5625e+07,-114.322
3.5750e+07,-109.491
3.5875e+07,-106.475
3.6000e+07,-103.459
3.6125e+07,-107.912
3.6250e+07,-112.366
3.6375e+07,-114.659
3.6500e+07,-116.95
3.6625e+07,-117.55
3.6750e+07,-118.15
3.6875e+07,-122.409
3.7000e+07,-126.666
3.7125e+07,-124.966
3.7250e+07,-123.266
3.7375e+07,-123.097
3.7500e+07,-122.925
3.7625e+07,-123.994
3.7750e+07,-125.062
3.7875e+07,-123.456
3.8000e+07,-121.85
3.8125e+07,-120.519
3.8250e+07,-119.188
3.8375e+07,-119.497
3.8500e+07,-119.803
3.8625e+07,-120.928
3.8750e+07,-122.053
3.8875e+07,-125.588
3.9000e+07,-129.122
3.9125e+07,-134.203
3.9250e+07,-139.284
3.9375e+07,-134.431
3.9500e+07,-129.575
