Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-08
Horizontal Delay,3.98e-08
Sample Interval,4e-10
Record Length,10000
Gating,48.7400% to 51.2500%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.0318
Vertical Scale,0.01
Vertical Position,-3.68
,
,
,
Label,
TIME,CH1
-1.0600e-08,0.0906
-1.0200e-08,0.0902
-9.8000e-09,0.0898
-9.4000e-09,0.0898
-9.0000e-09,0.0894
-8.6000e-09,0.0886
-8.2000e-09,0.0886
-7.8000e-09,0.0886
-7.4000e-09,0.0894
-7.0000e-09,0.0898
-6.6000e-09,0.0906
-6.2000e-09,0.0918
-5.8000e-09,0.091
-5.4000e-09,0.0898
-5.0000e-09,0.0882
-4.6000e-09,0.0886
-4.2000e-09,0.0906
-3.8000e-09,0.0926
-3.4000e-09,0.093
-3.0000e-09,0.091
-2.6000e-09,0.0894
-2.2000e-09,0.0886
-1.8000e-09,0.0882
-1.4000e-09,0.0878
-1.0000e-09,0.0878
-6.0000e-10,0.089
-2.0000e-10,0.089
2.0000e-10,0.0894
6.0000e-10,0.0894
1.0000e-09,0.0898
1.4000e-09,0.089
1.8000e-09,0.0886
2.2000e-09,0.089
2.6000e-09,0.0894
3.0000e-09,0.0906
3.4000e-09,0.0914
3.8000e-09,0.0914
4.2000e-09,0.091
4.6000e-09,0.0898
5.0000e-09,0.0886
5.4000e-09,0.0882
5.8000e-09,0.0898
6.2000e-09,0.0906
6.6000e-09,0.091
7.0000e-09,0.091
7.4000e-09,0.0902
7.8000e-09,0.0898
8.2000e-09,0.0898
8.6000e-09,0.0886
9.0000e-09,0.0882
9.4000e-09,0.0886
9.8000e-09,0.089
1.0200e-08,0.091
1.0600e-08,0.0918
1.1000e-08,0.0918
1.1400e-08,0.0906
1.1800e-08,0.089
1.2200e-08,0.0882
1.2600e-08,0.0874
1.3000e-08,0.0874
1.3400e-08,0.0882
1.3800e-08,0.0886
1.4200e-08,0.0902
1.4600e-08,0.0914
1.5000e-08,0.0918
1.5400e-08,0.0918
1.5800e-08,0.0906
1.6200e-08,0.0894
1.6600e-08,0.0882
1.7000e-08,0.0878
1.7400e-08,0.0878
1.7800e-08,0.0886
1.8200e-08,0.0906
1.8600e-08,0.091
1.9000e-08,0.0918
1.9400e-08,0.0914
1.9800e-08,0.0894
2.0200e-08,0.089
2.0600e-08,0.089
2.1000e-08,0.0886
2.1400e-08,0.0882
2.1800e-08,0.0894
2.2200e-08,0.0906
2.2600e-08,0.0914
2.3000e-08,0.0914
2.3400e-08,0.0914
2.3800e-08,0.0906
2.4200e-08,0.089
2.4600e-08,0.089
2.5000e-08,0.0886
2.5400e-08,0.0898
