Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-08
Horizontal Delay,2.76e-08
Sample Interval,4e-10
Record Length,10000
Gating,47.4900% to 52.500%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.053
Vertical Scale,0.01
Vertical Position,-0.06
,
,
,
Label,
TIME,CH1
1.5200e-08,0.0644
1.5600e-08,0.064
1.6000e-08,0.0632
1.6400e-08,0.0636
1.6800e-08,0.0636
1.7200e-08,0.0644
1.7600e-08,0.0652
1.8000e-08,0.0656
1.8400e-08,0.0652
1.8800e-08,0.0656
1.9200e-08,0.066
1.9600e-08,0.0656
2.0000e-08,0.0648
2.0400e-08,0.0652
2.0800e-08,0.0656
2.1200e-08,0.0652
2.1600e-08,0.0648
2.2000e-08,0.0636
2.2400e-08,0.064
2.2800e-08,0.066
2.3200e-08,0.0672
2.3600e-08,0.0676
2.4000e-08,0.066
2.4400e-08,0.064
2.4800e-08,0.064
2.5200e-08,0.0648
2.5600e-08,0.0668
2.6000e-08,0.0668
2.6400e-08,0.0668
2.6800e-08,0.066
2.7200e-08,0.0652
2.7600e-08,0.0652
2.8000e-08,0.0648
2.8400e-08,0.0648
2.8800e-08,0.0652
2.9200e-08,0.0672
2.9600e-08,0.068
3.0000e-08,0.0676
3.0400e-08,0.0668
3.0800e-08,0.0652
3.1200e-08,0.0636
3.1600e-08,0.0632
3.2000e-08,0.0632
3.2400e-08,0.0644
3.2800e-08,0.0656
3.3200e-08,0.0668
3.3600e-08,0.0672
3.4000e-08,0.0664
3.4400e-08,0.0652
3.4800e-08,0.0636
3.5200e-08,0.0624
3.5600e-08,0.0632
3.6000e-08,0.064
3.6400e-08,0.0652
3.6800e-08,0.0676
3.7200e-08,0.0676
3.7600e-08,0.0672
3.8000e-08,0.0656
3.8400e-08,0.0644
3.8800e-08,0.0632
3.9200e-08,0.0632
3.9600e-08,0.0636
4.0000e-08,0.0648
4.0400e-08,0.066
4.0800e-08,0.066
4.1200e-08,0.0652
4.1600e-08,0.0648
4.2000e-08,0.0644
4.2400e-08,0.0648
4.2800e-08,0.0656
4.3200e-08,0.0652
4.3600e-08,0.066
4.4000e-08,0.066
4.4400e-08,0.0672
4.4800e-08,0.066
4.5200e-08,0.0652
4.5600e-08,0.0636
4.6000e-08,0.064
4.6400e-08,0.064
4.6800e-08,0.064
4.7200e-08,0.0652
4.7600e-08,0.066
4.8000e-08,0.0668
4.8400e-08,0.0672
4.8800e-08,0.0656
4.9200e-08,0.0648
4.9600e-08,0.0636
5.0000e-08,0.0628
5.0400e-08,0.0628
5.0800e-08,0.0636
5.1200e-08,0.0648
5.1600e-08,0.0656
5.2000e-08,0.0656
5.2400e-08,0.0656
5.2800e-08,0.0656
5.3200e-08,0.0664
5.3600e-08,0.0664
5.4000e-08,0.0652
5.4400e-08,0.0648
5.4800e-08,0.064
5.5200e-08,0.0652
5.5600e-08,0.0652
5.6000e-08,0.0656
5.6400e-08,0.0656
5.6800e-08,0.0664
5.7200e-08,0.0672
5.7600e-08,0.0664
5.8000e-08,0.0656
5.8400e-08,0.0636
5.8800e-08,0.062
5.9200e-08,0.0628
5.9600e-08,0.0644
6.0000e-08,0.0656
6.0400e-08,0.0668
6.0800e-08,0.0668
6.1200e-08,0.0668
6.1600e-08,0.066
6.2000e-08,0.0652
6.2400e-08,0.0644
6.2800e-08,0.0636
6.3200e-08,0.0632
6.3600e-08,0.0644
6.4000e-08,0.0648
6.4400e-08,0.0644
6.4800e-08,0.0648
6.5200e-08,0.0668
6.5600e-08,0.068
6.6000e-08,0.0684
6.6400e-08,0.0672
6.6800e-08,0.0656
6.7200e-08,0.0632
6.7600e-08,0.0628
6.8000e-08,0.0632
6.8400e-08,0.0648
6.8800e-08,0.0652
6.9200e-08,0.066
6.9600e-08,0.0664
7.0000e-08,0.066
7.0400e-08,0.0656
7.0800e-08,0.0644
7.1200e-08,0.0636
7.1600e-08,0.0632
7.2000e-08,0.0624
7.2400e-08,0.0628
7.2800e-08,0.0636
7.3200e-08,0.0656
7.3600e-08,0.0664
7.4000e-08,0.0664
7.4400e-08,0.066
7.4800e-08,0.0652
7.5200e-08,0.0652
7.5600e-08,0.0656
7.6000e-08,0.0664
7.6400e-08,0.0656
7.6800e-08,0.0648
7.7200e-08,0.064
7.7600e-08,0.064
7.8000e-08,0.0652
7.8400e-08,0.0664
7.8800e-08,0.0664
7.9200e-08,0.0652
7.9600e-08,0.0644
8.0000e-08,0.0652
8.0400e-08,0.066
8.0800e-08,0.0664
8.1200e-08,0.0656
8.1600e-08,0.064
8.2000e-08,0.064
8.2400e-08,0.0648
8.2800e-08,0.0652
8.3200e-08,0.0656
8.3600e-08,0.0664
8.4000e-08,0.0668
8.4400e-08,0.0668
8.4800e-08,0.0668
8.5200e-08,0.0656
8.5600e-08,0.064
8.6000e-08,0.062
8.6400e-08,0.0612
8.6800e-08,0.0624
8.7200e-08,0.0652
8.7600e-08,0.0664
8.8000e-08,0.0676
8.8400e-08,0.066
8.8800e-08,0.066
8.9200e-08,0.0652
8.9600e-08,0.0652
9.0000e-08,0.0652
9.0400e-08,0.0644
9.0800e-08,0.0644
9.1200e-08,0.064
9.1600e-08,0.0644
9.2000e-08,0.0648
9.2400e-08,0.0656
9.2800e-08,0.0652
9.3200e-08,0.0652
9.3600e-08,0.0652
9.4000e-08,0.066
9.4400e-08,0.0652
9.4800e-08,0.064
9.5200e-08,0.0636
9.5600e-08,0.0632
9.6000e-08,0.0652
9.6400e-08,0.0664
9.6800e-08,0.0664
9.7200e-08,0.0664
9.7600e-08,0.0656
9.8000e-08,0.0648
