Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0708,
Vertical Scale,0.02,
Vertical Position,-1.02,
,,
,,
,,
Label,,
TIME,CH1,CH3
2.9570e-08,0.0952,-0.0016
2.9970e-08,0.1,-0.0024
3.0370e-08,0.1072,-0.0016
3.0770e-08,0.1136,-0.0016
3.1170e-08,0.1192,-0.0016
3.1570e-08,0.124,0
3.1970e-08,0.1264,0.0008
3.2370e-08,0.1264,0.0016
3.2770e-08,0.128,0
3.3170e-08,0.1288,0
3.3570e-08,0.1296,0
3.3970e-08,0.1304,-0.0008
3.4370e-08,0.1312,-0.0024
3.4770e-08,0.1336,-0.0024
3.5170e-08,0.1336,-0.0016
3.5570e-08,0.1344,-0.0008
3.5970e-08,0.1344,0
3.6370e-08,0.1352,0.0008
3.6770e-08,0.1352,0
3.7170e-08,0.136,0.0008
3.7570e-08,0.1368,0.0008
3.7970e-08,0.136,-0.0008
3.8370e-08,0.136,-0.0008
3.8770e-08,0.1376,-0.0008
3.9170e-08,0.1376,-0.0016
3.9570e-08,0.1376,-0.0016
3.9970e-08,0.1376,-0.0008
4.0370e-08,0.136,-0.0016
4.0770e-08,0.1352,0
4.1170e-08,0.136,0.0016
4.1570e-08,0.136,0.0008
4.1970e-08,0.1376,0.0008
4.2370e-08,0.1392,-0.0008
4.2770e-08,0.1392,-0.0008
4.3170e-08,0.1368,-0.0008
4.3570e-08,0.132,-0.0016
4.3970e-08,0.128,-0.0016
4.4370e-08,0.1224,0.0008
4.4770e-08,0.1192,0.0008
4.5170e-08,0.1128,0.0008
4.5570e-08,0.1096,-0.0008
4.5970e-08,0.1056,0
4.6370e-08,0.1016,0
4.6770e-08,0.1,-0.0008
4.7170e-08,0.0992,-0.0008
4.7570e-08,0.0976,-0.0008
4.7970e-08,0.0976,-0.0008
4.8370e-08,0.096,-0.0008
4.8770e-08,0.0952,-0.0008
4.9170e-08,0.0936,-0.0008
4.9570e-08,0.0936,0
4.9970e-08,0.092,0.0008
5.0370e-08,0.092,0
5.0770e-08,0.0912,0
5.1170e-08,0.092,0
5.1570e-08,0.0912,0
5.1970e-08,0.092,-0.0008
5.2370e-08,0.0912,-0.0024
5.2770e-08,0.0904,-0.0016
5.3170e-08,0.0896,0
5.3570e-08,0.0896,0.0008
5.3970e-08,0.0904,0
5.4370e-08,0.0904,0
5.4770e-08,0.0912,0.0008
5.5170e-08,0.0912,0
5.5570e-08,0.0904,0
5.5970e-08,0.0896,-0.0016
5.6370e-08,0.0888,-0.0016
5.6770e-08,0.0888,-0.0008
5.7170e-08,0.0896,-0.0008
5.7570e-08,0.0896,-0.0008
5.7970e-08,0.0896,-0.0008
5.8370e-08,0.0896,0.0008
5.8770e-08,0.0888,0.0008
5.9170e-08,0.088,0.0008
5.9570e-08,0.088,0.0008
5.9970e-08,0.0888,0.0008
6.0370e-08,0.088,-0.0008
6.0770e-08,0.088,-0.0016
6.1170e-08,0.0872,-0.0032
6.1570e-08,0.0888,-0.0016
6.1970e-08,0.088,0
6.2370e-08,0.0888,0
6.2770e-08,0.0888,-0.0008
6.3170e-08,0.0896,0
6.3570e-08,0.0896,0.0008
6.3970e-08,0.0896,0
6.4370e-08,0.0888,-0.0008
6.4770e-08,0.0864,-0.0032
6.5170e-08,0.088,-0.0016
6.5570e-08,0.0896,-0.0024
6.5970e-08,0.0904,-0.0016
6.6370e-08,0.0904,-0.0008
6.6770e-08,0.0888,0
6.7170e-08,0.0888,0
6.7570e-08,0.0888,0.0016
6.7970e-08,0.0896,0.0008
6.8370e-08,0.0888,0
6.8770e-08,0.0864,0
6.9170e-08,0.0848,-0.0008
6.9570e-08,0.0856,-0.0016
6.9970e-08,0.0864,-0.0024
7.0370e-08,0.0904,-0.0016
7.0770e-08,0.0904,0
7.1170e-08,0.0904,0.0008
7.1570e-08,0.0904,-0.0008
7.1970e-08,0.0904,0
7.2370e-08,0.0896,0.0008
7.2770e-08,0.0888,0.0008
7.3170e-08,0.088,0
7.3570e-08,0.0888,-0.0024
7.3970e-08,0.0904,-0.0024
7.4370e-08,0.0904,-0.0016
7.4770e-08,0.0904,-0.0008
7.5170e-08,0.0896,0
7.5570e-08,0.088,-0.0008
7.5970e-08,0.0864,0.0008
7.6370e-08,0.0872,0.0008
7.6770e-08,0.088,0
7.7170e-08,0.0896,0
7.7570e-08,0.0904,-0.0008
7.7970e-08,0.0912,-0.0008
7.8370e-08,0.0912,-0.0016
7.8770e-08,0.0904,-0.0024
7.9170e-08,0.0896,-0.0016
7.9570e-08,0.0896,-0.0008
7.9970e-08,0.0888,0.0008
8.0370e-08,0.0888,0.0008
8.0770e-08,0.0904,0.0008
8.1170e-08,0.0912,0.0008
8.1570e-08,0.0912,0
