Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-09,,
Horizontal Delay,3.9e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.4900% to 50.500%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0.0318,,
Vertical Scale,0.01,,
Vertical Position,-3.68,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.8600e-08,0.0881844,-1.80766,0.0530609
1.9000e-08,0.0883016,-1.795,0.0534031
1.9400e-08,0.0882594,-1.79797,0.0530938
1.9800e-08,0.0881484,-1.80109,0.0526563
2.0200e-08,0.0880531,-1.80703,0.0523656
2.0600e-08,0.0880922,-1.80219,0.0521438
2.1000e-08,0.0881328,-1.80313,0.0521328
2.1400e-08,0.0882344,-1.80094,0.0527844
2.1800e-08,0.0882281,-1.80437,0.0549641
2.2200e-08,0.0882797,-1.80141,0.0588453
2.2600e-08,0.0882937,-1.79969,0.0632234
2.3000e-08,0.0882516,-1.80141,0.0670797
2.3400e-08,0.0881937,-1.80328,0.0701797
2.3800e-08,0.0881359,-1.80109,0.0727453
2.4200e-08,0.0880625,-1.80156,0.0753453
2.4600e-08,0.0880719,-1.80437,0.0780406
2.5000e-08,0.0881047,-1.80828,0.0796891
2.5400e-08,0.0882641,-1.79781,0.0800016
2.5800e-08,0.0882828,-1.79578,0.0797094
2.6200e-08,0.0882625,-1.79937,0.0796781
2.6600e-08,0.0882453,-1.80234,0.0796891
2.7000e-08,0.0882953,-1.8,0.0792875
2.7400e-08,0.0882187,-1.80266,0.0785203
2.7800e-08,0.0882141,-1.79906,0.0776578
2.8200e-08,0.0881047,-1.79891,0.0768203
2.8600e-08,0.0880594,-1.79875,0.0764734
2.9000e-08,0.0880703,-1.80219,0.0767859
2.9400e-08,0.0881781,-1.80172,0.0778875
2.9800e-08,0.0882719,-1.80328,0.0792047
3.0200e-08,0.0883594,-1.80625,0.0801531
3.0600e-08,0.0883328,-1.80234,0.0805703
3.1000e-08,0.0882062,-1.80234,0.0807766
3.1400e-08,0.0880688,-1.80781,0.0808781
3.1800e-08,0.0881469,-1.79469,0.0810375
3.2200e-08,0.0881516,-1.80109,0.0806313
3.2600e-08,0.0881781,-1.80063,0.0790609
3.3000e-08,0.08815,-1.80641,0.0756281
3.3400e-08,0.0881156,-1.80359,0.0708047
3.3800e-08,0.0880969,-1.80063,0.0662766
3.4200e-08,0.0881328,-1.8,0.0627672
3.4600e-08,0.0881984,-1.80531,0.0601219
3.5000e-08,0.0882766,-1.80172,0.0580406
3.5400e-08,0.0883125,-1.79937,0.0564797
3.5800e-08,0.088225,-1.79984,0.0556672
3.6200e-08,0.0881109,-1.80313,0.0552813
3.6600e-08,0.0880344,-1.79906,0.0549953
3.7000e-08,0.0880344,-1.80094,0.0545938
3.7400e-08,0.0881687,-1.8025,0.0544125
3.7800e-08,0.0883734,-1.80766,0.0543172
3.8200e-08,0.0885219,-1.79828,0.0542922
3.8600e-08,0.0885125,-1.79781,0.0541688
3.9000e-08,0.0883781,-1.80234,0.0541297
3.9400e-08,0.0881609,-1.80391,0.0541188
