Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-09,,
Horizontal Delay,3.9e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.4900% to 50.500%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0.0318,,
Vertical Scale,0.01,,
Vertical Position,-3.68,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.8600e-08,0.0884484,-1.79422,0.0531891
1.9000e-08,0.0885406,-1.79094,0.0535109
1.9400e-08,0.0885141,-1.79469,0.0532203
1.9800e-08,0.0884453,-1.79781,0.0527234
2.0200e-08,0.0884016,-1.79969,0.0523938
2.0600e-08,0.0883734,-1.79328,0.0521766
2.1000e-08,0.0884531,-1.79672,0.0521656
2.1400e-08,0.0885219,-1.79234,0.0529063
2.1800e-08,0.0885234,-1.80031,0.05515
2.2200e-08,0.0885203,-1.79375,0.0590313
2.2600e-08,0.0884781,-1.79,0.0634187
2.3000e-08,0.0884078,-1.79281,0.0672547
2.3400e-08,0.0883531,-1.795,0.0703422
2.3800e-08,0.0883828,-1.79359,0.0728984
2.4200e-08,0.0884187,-1.79453,0.0754313
2.4600e-08,0.0884469,-1.79719,0.0780391
2.5000e-08,0.0885094,-1.80187,0.0796906
2.5400e-08,0.0885688,-1.79047,0.0799766
2.5800e-08,0.0884719,-1.79203,0.0798203
2.6200e-08,0.0884328,-1.79734,0.079825
2.6600e-08,0.0884047,-1.79609,0.0797969
2.7000e-08,0.0884422,-1.79656,0.0794547
2.7400e-08,0.0884391,-1.79906,0.0786406
2.7800e-08,0.0885,-1.79234,0.0777313
2.8200e-08,0.0884578,-1.79688,0.0767828
2.8600e-08,0.0884672,-1.79578,0.0764141
2.9000e-08,0.0884297,-1.79797,0.0767625
2.9400e-08,0.0884781,-1.79531,0.0779594
2.9800e-08,0.0885234,-1.79781,0.0793187
3.0200e-08,0.0885375,-1.79953,0.0802719
3.0600e-08,0.0885094,-1.79141,0.0807516
3.1000e-08,0.0884375,-1.79203,0.0808828
3.1400e-08,0.0883781,-1.79422,0.0809766
3.1800e-08,0.0884141,-1.79094,0.0809922
3.2200e-08,0.0884516,-1.79406,0.0805812
3.2600e-08,0.0884797,-1.79734,0.0790078
3.3000e-08,0.0885031,-1.79922,0.0755547
3.3400e-08,0.0884547,-1.79547,0.0707891
3.3800e-08,0.0883891,-1.79625,0.0662875
3.4200e-08,0.0883594,-1.79297,0.0628953
3.4600e-08,0.0883406,-1.80016,0.0601563
3.5000e-08,0.0884406,-1.79312,0.0580516
3.5400e-08,0.0885406,-1.79094,0.0564922
3.5800e-08,0.088575,-1.79516,0.0557047
3.6200e-08,0.0884922,-1.79453,0.0553656
3.6600e-08,0.0884203,-1.79359,0.0550469
3.7000e-08,0.0883687,-1.79375,0.0546688
3.7400e-08,0.0884391,-1.79594,0.0545172
3.7800e-08,0.0885359,-1.80016,0.0544688
3.8200e-08,0.0887203,-1.79172,0.0544047
3.8600e-08,0.0887328,-1.79297,0.0542672
3.9000e-08,0.088625,-1.79641,0.0541859
3.9400e-08,0.0884906,-1.79594,0.0541547
